track_id,frame_id,label,X,Y,Z,img_name,x,y,r,vol_real,vol_rep,xrep,yrep,error,x1cm,y1cm,d2val1,d2val2
27,1,baya,-21.2968,-13.7677,55.4636,VID_20220217_103846_F3.png,151,268,0,0,0,168.014,274.126,18.0835,156.973,300.562,NULL,NULL
28,0,baya,-15.6944,-8.78303,54.2547,VID_20220217_103846_F-1.png,516,302,0,0,0,519.093,303.849,3.60329,543.798,316.75,NULL,NULL
28,1,baya,-15.6944,-8.78303,54.2547,VID_20220217_103846_F3.png,305,440,0,0,0,311.575,441.264,6.69498,297.658,466.58,NULL,NULL
29,0,baya,0,0,0,VID_20220217_103846_F-1.png,465,275,0,0,0,-nan,-nan,-1,-nan,-nan,NULL,NULL
29,1,baya,0,0,0,VID_20220217_103846_F3.png,246,406,0,0,0,-3831.33,5950.14,-1,-3954.2,6049.11,NULL,NULL
30,0,baya,-9.2481,-8.68791,55.277,VID_20220217_103846_F-1.png,704,308,0,0,0,706.435,310.606,3.56655,726.687,328.36,NULL,NULL
30,1,baya,-9.2481,-8.68791,55.277,VID_20220217_103846_F3.png,486,464,0,0,0,488.266,463.675,2.2887,471.46,488.5,NULL,NULL
31,0,cal_1,-7.90635,-2.91175,58.8682,VID_20220217_103846_F-1.png,757,465,0,0,0,757.12,464.983,0.121534,781.605,473.397,NULL,NULL
31,1,cal_1,-7.90635,-2.91175,58.8682,VID_20220217_103846_F3.png,618,554,0,0,0,619.728,554.018,1.72787,603.113,575.421,NULL,NULL
32,0,baya,-13.5323,-10.2567,54.2347,VID_20220217_103846_F-1.png,578,263,0,0,0,580.163,264.817,2.8254,602.734,280.781,NULL,NULL
32,1,baya,-13.5323,-10.2567,54.2347,VID_20220217_103846_F3.png,343,414,0,0,0,349.198,415.741,6.43773,334.249,441.633,NULL,NULL
33,0,baya,-19.2647,-12.7309,55.2047,VID_20220217_103846_F-1.png,422,201,0,0,0,427.403,205.343,6.93246,450.616,219.657,NULL,NULL
33,1,baya,-19.2647,-12.7309,55.2047,VID_20220217_103846_F3.png,206,309,0,0,4.59023e-41,216.831,312.555,11.3993,204.799,338.83,NULL,NULL
34,0,baya,-12.4828,-8.5939,53.1141,VID_20220217_103846_F-1.png,600,302,0,1.58347e-43,2.03188e-43,602.428,303.97,3.12698,626.248,319.272,NULL,NULL
34,1,baya,-12.4828,-8.5939,53.1141,VID_20220217_103846_F3.png,358,479,0,2.03188e-43,1.13505e-43,363.173,479.469,5.19399,347.487,505.172,NULL,NULL
35,0,baya,-9.21253,-7.09009,55.0788,VID_20220217_103846_F-1.png,704,349,0,0,0,706.502,351.375,3.4498,728.602,367.246,NULL,NULL
35,1,baya,-9.21253,-7.09009,55.0788,VID_20220217_103846_F3.png,494,507,0,0,0,495.878,506.092,2.08565,479.015,530.361,NULL,NULL
36,0,baya,-15.1297,-11.0027,53.7748,VID_20220217_103846_F-1.png,529,241,0,9.15999e-07,9.16966e-07,531.259,242.616,2.77723,554.36,258.292,NULL,NULL
36,1,baya,-15.1297,-11.0027,53.7748,VID_20220217_103846_F3.png,286,392,0,0,1.4013e-45,294.101,394.609,8.51116,279.867,420.967,NULL,NULL
37,0,baya,-11.4497,-7.27566,54.6074,VID_20220217_103846_F-1.png,639,343,0,3.08678e-41,3.08678e-41,641.358,344.912,3.03514,665.098,358.988,NULL,NULL
37,1,baya,-11.4497,-7.27566,54.6074,VID_20220217_103846_F3.png,427,496,0,0,4.59023e-41,430.607,495.835,3.61035,414.702,520.41,NULL,NULL
38,0,baya,-10.2934,-11.1836,56.6117,VID_20220217_103846_F-1.png,682,250,0,3.11644e-07,0,684.132,252.733,3.46601,702.506,271.361,NULL,NULL
38,1,baya,-10.2934,-11.1836,56.6117,VID_20220217_103846_F3.png,469,375,0,0,8.52041e-10,472.395,376.158,3.58674,456.355,401.446,NULL,NULL
39,0,baya,0,0,0,VID_20220217_103846_F-1.png,537,204,0,3.08678e-41,0,-nan,-nan,-1,-nan,-nan,NULL,NULL
39,1,baya,0,0,0,VID_20220217_103846_F3.png,305,321,0,0,4.59149e-41,-3831.33,5950.14,-1,-3954.2,6049.11,NULL,NULL
40,0,baya,0,0,0,VID_20220217_103846_F-1.png,617,250,0,4.46427e+30,0,-nan,-nan,-1,-nan,-nan,NULL,NULL
40,1,baya,0,0,0,VID_20220217_103846_F3.png,386,397,0,0,0,-3831.33,5950.14,-1,-3954.2,6049.11,NULL,NULL
41,0,baya,-17.1346,-11.414,53.9985,VID_20220217_103846_F-1.png,473,231,0,1.49929e+10,0,476.018,232.913,3.57352,499.692,247.628,NULL,NULL
41,1,baya,-17.1346,-11.414,53.9985,VID_20220217_103846_F3.png,239,368,0,0,0,248.89,371.213,10.3991,235.677,397.587,NULL,NULL
42,0,baya,0,0,0,VID_20220217_103846_F-1.png,630,309,0,4.52385e+30,0,-nan,-nan,-1,-nan,-nan,NULL,NULL
42,1,baya,0,0,0,VID_20220217_103846_F3.png,401,466,0,0,9.15611e-07,-3831.33,5950.14,-1,-3954.2,6049.11,NULL,NULL
43,0,val_1,-1.89184,-2.63521,60.727,VID_20220217_103846_F-1.png,916,474,0,1.55653e+28,0,915.562,473.68,0.542747,930.312,492.853,2.16149,NULL
43,1,val_1,-1.89184,-2.63521,60.727,VID_20220217_103846_F3.png,794,567,0,0,3.08678e-41,794.479,567.261,0.545139,775.916,587.666,2.16149,NULL
44,0,val_1,-3.9547,-2.74156,60.0903,VID_20220217_103846_F-1.png,863,471,0,1.80139e+25,0,862.325,470.484,0.849364,883.332,484.073,NULL,NULL
44,1,val_1,-3.9547,-2.74156,60.0903,VID_20220217_103846_F3.png,733,562,0,0,0,734.014,562.419,1.0968,716.094,583.172,NULL,NULL
45,0,baya,0,0,0,VID_20220217_103846_F-1.png,543,275,0,6.14024e+13,0,-nan,-nan,-1,-nan,-nan,NULL,NULL
45,1,baya,0,0,0,VID_20220217_103846_F3.png,315,418,0,0,4.59023e-41,-3831.33,5950.14,-1,-3954.2,6049.11,NULL,NULL
46,0,baya,-10.251,-9.98373,55.5373,VID_20220217_103846_F-1.png,678,276,0,4.74718e+27,0,679.902,278.22,2.92299,699.714,296.226,NULL,NULL
46,1,baya,-10.251,-9.98373,55.5373,VID_20220217_103846_F3.png,456,421,0,0,9.15213e-07,459.624,421.817,3.71503,443.346,447.066,NULL,NULL
