,track_id,frame_id,label,X,Y,Z,img_name,x,y,r,vol_real,vol_rep,xrep,yrep,error,x1cm,y1cm,d2val1,d2val2
33,16,1,cal_1,-3.82483,-10.6506,39.5296,VID_20220324_131950_F-1.png,738,292,0.0,0.0,0.0,739.022,293.605,1.90237,711.339,304.926,,
34,17,0,cal_2,-3.96627,-8.56075,39.379,VID_20220324_131950_F0.png,808,222,0.0,0.0,0.0,808.708,224.289,2.39632,825.105,257.314,,
35,17,1,cal_2,-3.96627,-8.56075,39.379,VID_20220324_131950_F-1.png,736,351,0.0,0.0,0.0,736.796,351.951,1.24019,708.391,361.877,,
36,18,0,keypoint,-2.23685,-8.38067,40.3206,VID_20220324_131950_F0.png,878,236,0.0,0.0,0.0,878.201,237.967,1.97706,888.025,272.312,,
37,18,1,keypoint,-2.23685,-8.38067,40.3206,VID_20220324_131950_F-1.png,794,350,0.0,0.0,0.0,794.429,350.771,0.882418,765.615,360.267,,
38,19,0,keypoint,-2.14416,-10.4918,40.5237,VID_20220324_131950_F0.png,882,161,0.0,0.0,0.0,882.141,164.791,3.79387,889.731,199.444,,
39,19,1,keypoint,-2.14416,-10.4918,40.5237,VID_20220324_131950_F-1.png,796,291,0.0,0.0,0.0,796.53,291.902,1.04639,768.436,302.753,,
40,20,0,keypoint,1.7841,2.83097,39.4896,VID_20220324_131950_F0.png,1033,639,0.0,0.0,0.0,1032.81,638.627,0.41991,1012.07,607.921,,
41,20,1,keypoint,1.7841,2.83097,39.4896,VID_20220324_131950_F-1.png,893,667,0.0,0.0,0.0,893.029,666.959,0.0496526,859.858,668.133,,
42,21,0,keypoint,1.83728,4.88076,39.125,VID_20220324_131950_F0.png,1036,715,0.0,0.0,0.0,1035.54,714.676,0.561613,1021.71,680.391,,
43,21,1,keypoint,1.83728,4.88076,39.125,VID_20220324_131950_F-1.png,891,733,0.0,0.0,0.0,891.101,731.801,1.20308,857.574,731.308,,
44,22,0,keypoint,3.78897,4.82871,39.1787,VID_20220324_131950_F0.png,1113,714,0.0,0.0,0.0,1111.96,712.527,1.80498,1087.76,683.746,,
45,22,1,keypoint,3.78897,4.82871,39.1787,VID_20220324_131950_F-1.png,942,729,0.0,0.0,0.0,941.905,728.816,0.207168,907.485,728.538,,
46,23,0,keypoint,3.7528,2.75467,39.5082,VID_20220324_131950_F0.png,1110,636,0.0,0.0,0.0,1109.31,635.811,0.712895,1077.97,614.344,,
47,23,1,keypoint,3.7528,2.75467,39.5082,VID_20220324_131950_F-1.png,943,662,0.0,0.0,0.0,942.967,661.569,0.432054,908.905,662.954,,
48,24,0,keypoint,4.59181,5.34913,38.9672,VID_20220324_131950_F0.png,1146,734,0.0,0.0,0.0,1144.41,732.628,2.10047,1118.74,704.718,,
49,24,1,keypoint,4.59181,5.34913,38.9672,VID_20220324_131950_F-1.png,960,747,0.0,0.0,0.0,959.837,746.023,0.990488,924.868,745.39,,
50,25,0,keypoint,4.62198,7.39148,38.5066,VID_20220324_131950_F0.png,1150,814,0.0,0.0,0.0,1147.78,811.001,3.73258,1126.63,779.441,,
51,25,1,keypoint,4.62198,7.39148,38.5066,VID_20220324_131950_F-1.png,956,817,0.0,0.0,0.0,955.711,815.415,1.61104,920.401,813.096,,
52,26,0,keypoint,6.56164,7.36938,38.6198,VID_20220324_131950_F0.png,1228,813,0.0,0.0,0.0,1224.38,809.375,5.12191,1197.93,781.657,,
53,26,1,keypoint,6.56164,7.36938,38.6198,VID_20220324_131950_F-1.png,1013,817,0.0,0.0,0.0,1012.29,815.337,1.80643,976.017,813.228,,
54,27,0,keypoint,6.54179,5.35873,39.1416,VID_20220324_131950_F0.png,1223,734,0.0,0.0,0.0,1220.12,732.102,3.44565,1189.77,708.898,,
55,27,1,keypoint,6.54179,5.35873,39.1416,VID_20220324_131950_F-1.png,1018,746,0.0,0.0,0.0,1017.55,744.957,1.13421,981.687,744.488,,
56,28,0,keypoint,4.50709,-10.73,41.0033,VID_20220324_131950_F0.png,1135,156,0.0,0.0,0.0,1132.25,160.806,5.53797,1117.74,193.034,,
57,28,1,keypoint,4.50709,-10.73,41.0033,VID_20220324_131950_F-1.png,961,242,0.0,0.0,0.0,960.613,243.606,1.65167,929.887,254.531,,
58,29,0,keypoint,4.51147,-8.61391,40.8986,VID_20220324_131950_F0.png,1135,231,0.0,0.0,0.0,1132.85,234.003,3.69611,1115.42,265.048,,
59,29,1,keypoint,4.51147,-8.61391,40.8986,VID_20220324_131950_F-1.png,964,306,0.0,0.0,0.0,963.776,306.969,0.994646,932.368,316.568,,
60,30,0,keypoint,6.47425,-8.60433,41.0612,VID_20220324_131950_F0.png,1209,232,0.0,0.0,0.0,1205.6,235.533,4.90619,1183.1,263.425,,
61,30,1,keypoint,6.47425,-8.60433,41.0612,VID_20220324_131950_F-1.png,1019,294,0.0,0.0,0.0,1018.43,295.234,1.35793,986.179,304.849,,
62,31,0,keypoint,6.43049,-10.7195,41.2291,VID_20220324_131950_F0.png,1207,158,0.0,0.0,0.0,1202.98,163.225,6.59261,1183.81,193.036,,
63,31,1,keypoint,6.43049,-10.7195,41.2291,VID_20220324_131950_F-1.png,1016,229,0.0,0.0,0.0,1015.16,231.053,2.21946,983.625,241.96,,
