track_id,X,Y,Z
0,0.0532218,-0.241339,1.82507
1,-0.248288,-0.449001,1.98179
2,-0.00240548,-0.426988,1.79841
7,-0.288796,-0.361489,1.92579
8,0.195065,-0.487098,1.8962
9,0.386865,-0.272953,1.86061
10,0.0,0.0,0.0
11,-0.0518379,-0.523246,1.90122
12,0.0,0.0,0.0
13,-0.139126,-0.494883,1.90928
14,0.484256,-0.272452,1.93207
17,0.0,0.0,0.0
19,0.125883,-0.29608,1.872
23,-0.211753,-0.345311,1.8454
25,0.442611,-0.371222,1.89759
26,0.258276,-0.427836,1.83327
28,-0.152042,-0.398872,1.79262
30,0.0965691,-0.506254,1.90427
31,0.0,0.0,0.0
32,0.212769,-0.308265,1.88112
33,-0.0656942,-0.346775,1.76795
36,0.287594,-0.294075,1.83557
37,0.0,0.0,0.0
38,-0.362046,-0.281661,1.98311
40,0.0,0.0,0.0
43,0.166897,-0.394354,1.87776
44,0.341674,-0.37523,1.84938
45,0.316797,-0.213882,1.90004
48,-0.146988,-0.279184,1.76211
49,0.0,0.0,0.0
50,0.539947,-0.356767,2.00309
