track_id,X,Y,Z
2,0.0,0.0,0.0
3,-2.20147,9.14629,15.3147
9,-4.10933,3.88078,15.3162
10,-2.34803,6.46077,13.328
11,0.0,0.0,0.0
13,0.0,0.0,0.0
14,-3.04109,8.54255,15.1307
15,-1.65161,7.87316,14.5363
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,-3.08154,6.49606,13.4042
19,0.0,0.0,0.0
20,-3.78974,9.62539,16.4497
22,-0.404472,4.92849,15.617
23,0.0,0.0,0.0
25,0.0,0.0,0.0
27,-0.734783,4.30172,13.1486
28,-1.53807,3.62188,19.337
29,-0.534431,3.57813,17.9496
30,0.0,0.0,0.0
31,-1.38647,4.08324,13.6607
32,-4.01454,3.23437,15.5278
33,0.239431,4.41909,15.3838
35,-2.77503,5.75817,13.7887
