track_id,X,Y,Z
0,0.0448477,-0.183398,1.77315
1,0.0,0.0,0.0
2,-0.0171696,-0.376161,1.70813
7,-0.323987,-0.319109,1.89753
9,0.195211,-0.44669,1.83095
10,0.397494,-0.228111,1.82174
12,-0.0699404,-0.485771,1.8267
13,0.0,0.0,0.0
14,-0.163471,-0.456508,1.85995
17,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.119813,-0.250212,1.83888
24,0.0,0.0,0.0
26,0.452048,-0.332826,1.83347
28,0.0,0.0,0.0
30,-0.172491,-0.341146,1.7149
32,0.0,0.0,0.0
33,0.0789864,-0.354965,1.77866
36,0.0,0.0,0.0
38,-0.084831,-0.2858,1.69584
43,0.288234,-0.245239,1.77711
45,-0.407865,-0.236389,1.99484
46,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.34377,-0.330752,1.77809
54,0.0,0.0,0.0
57,0.560524,-0.335767,1.96902
60,0.0151298,-0.272046,1.72034
61,0.0,0.0,0.0
