track_id,X,Y,Z
2,0.0,0.0,0.0
3,-0.400795,0.499704,1.77594
9,-0.26762,1.03632,1.70631
14,-0.461771,0.578682,1.70313
15,-0.295197,0.893074,1.66011
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,-0.237066,1.03751,1.82206
22,0.0,0.0,0.0
27,-0.365376,0.886984,1.63965
28,-0.467752,1.00147,2.03325
30,0.0,0.0,0.0
31,-0.131002,0.705974,1.84329
32,-0.162925,0.632554,1.88813
45,0.0,0.0,0.0
51,-0.247426,0.49317,1.9446
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,-0.461538,0.518134,1.73264
60,-0.0745865,0.67416,1.88808
61,0.0,0.0,0.0
62,-0.341822,1.06325,1.70851
