track_id,X,Y,Z
7,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.426594,-0.332385,1.75502
14,0.72505,-0.255475,2.08045
15,0.0,0.0,0.0
16,0.162097,-0.174667,1.9172
19,0.0,0.0,0.0
20,-0.205513,-0.0670127,1.85436
21,-0.288402,-0.0116681,1.94448
22,-0.124909,-0.53256,1.92283
24,-0.0830384,-0.138192,1.89016
26,0.0917629,-0.388747,1.73518
27,0.653581,-0.347128,1.9423
28,0.0,0.0,0.0
29,0.0,0.0,0.0
31,0.0,0.0,0.0
34,0.268691,-0.265488,1.67177
36,-0.158566,-0.453064,1.68896
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.528009,-0.401459,1.79389
41,0.360808,-0.278367,1.69399
42,0.0,0.0,0.0
45,0.0,0.0,0.0
49,0.408035,-0.485455,1.91463
63,0.261196,-0.366084,1.70729
66,0.00886107,-0.468977,1.82603
69,0.0773962,-0.531192,1.8866
71,0.0,0.0,0.0
75,0.517294,-0.297479,1.74835
77,0.17938,-0.424686,1.69439
78,0.300728,-0.500802,1.87835
80,0.0782071,-0.178825,1.73683
82,0.0,0.0,0.0
