track_id,X,Y,Z
5,-0.673228,-0.495257,5.43202
8,0.0,0.0,0.0
11,-0.214154,0.0337559,4.6782
15,-1.51133,0.517639,5.17817
16,-1.77977,0.552763,5.38742
17,0.0,0.0,0.0
19,-0.445781,-0.490325,4.73021
20,0.0,0.0,0.0
22,-1.41138,-0.0891098,5.12383
24,0.0,0.0,0.0
26,0.277746,-0.0793823,5.00684
27,0.0,0.0,0.0
28,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
34,-1.00854,0.351929,5.44891
36,0.744602,-1.22396,5.15791
38,0.0,0.0,0.0
39,-0.842064,-1.49032,5.55228
40,0.0,0.0,0.0
42,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
49,0.0,0.0,0.0
62,0.0,0.0,0.0
63,-0.0861142,-1.0369,4.65973
66,0.538872,-0.434902,4.70016
