track_id,X,Y,Z
2,-0.318009,-0.208507,2.53705
15,0.0,0.0,0.0
19,0.0,0.0,0.0
24,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
30,0.0652518,-0.137321,2.0774
31,0.0,0.0,0.0
34,0.0,0.0,0.0
36,-0.172862,0.152591,2.49649
40,0.271247,-0.00997745,2.3349
42,-0.307038,-0.300961,3.11299
44,0.0,0.0,0.0
46,0.0,0.0,0.0
49,0.335648,-0.0249356,2.09883
62,0.665649,-0.266963,2.34962
63,0.0,0.0,0.0
66,0.414573,-0.321857,2.4077
76,0.0,0.0,0.0
78,0.0,0.0,0.0
85,0.0,0.0,0.0
89,0.153763,-0.158154,2.03232
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.157877,-0.260479,2.06885
98,0.322602,-0.135207,2.09097
103,-0.306121,0.00685821,2.43046
104,0.566309,-0.322776,2.61434
105,-0.335395,-0.416399,2.63133
107,0.0,0.0,0.0
