track_id,X,Y,Z
2,0.0,0.0,0.0
3,-0.28555,0.219008,1.20783
9,0.0,0.0,0.0
13,-0.344497,0.292952,1.12586
14,-0.18221,0.60599,1.09695
16,0.0,0.0,0.0
18,0.0,0.0,0.0
19,-0.111613,0.716325,1.20749
20,0.0,0.0,0.0
23,-0.252655,0.598399,1.06529
27,0.0,0.0,0.0
28,-0.280282,0.748897,1.17518
30,-0.0185985,0.425088,1.28726
31,0.0,0.0,0.0
33,0.0,0.0,0.0
35,0.0,0.0,0.0
51,-0.280657,0.403431,1.3196
56,-0.102412,0.399061,1.21259
57,0.0,0.0,0.0
58,0.0417552,0.392089,1.32688
59,0.0,0.0,0.0
60,-0.231868,0.755277,1.10884
