track_id,X,Y,Z
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,-0.0544444,-0.569141,2.34984
7,-0.444726,-0.478812,2.53408
8,0.0,0.0,0.0
9,0.462941,-0.350907,2.45286
10,-0.236913,-0.200825,2.4847
11,-0.119256,-0.692412,2.53048
12,0.0,0.0,0.0
13,-0.23895,-0.65224,2.51958
14,0.597274,-0.350132,2.55457
17,0.0,0.0,0.0
18,0.0,0.0,0.0
21,-0.333801,-0.458784,2.41182
23,0.0,0.0,0.0
24,0.541963,-0.483448,2.51764
25,0.0,0.0,0.0
26,-0.257796,-0.530926,2.36384
28,0.0,0.0,0.0
29,0.0644864,-0.527131,2.42411
30,0.22739,-0.401493,2.47843
31,-0.138573,-0.463579,2.29826
32,-0.0129571,-0.164074,2.63767
33,0.331447,-0.38486,2.4254
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.170177,-0.517183,2.47739
38,0.4094,-0.491609,2.45556
39,0.366404,-0.270264,2.52371
40,-0.131947,-0.12907,2.59676
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.677699,-0.459322,2.69123
46,0.0,0.0,0.0
48,-0.0126484,-0.436012,2.32214
