track_id,X,Y,Z
2,-0.249944,0.213513,1.01053
3,0.0,0.0,0.0
9,-0.284475,0.259675,0.949563
10,-0.182617,0.468219,0.938366
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,-0.147162,0.54543,1.01339
16,0.0,0.0,0.0
18,-0.222463,0.459496,0.909565
19,0.0,0.0,0.0
20,0.0,0.0,0.0
22,-0.0883318,0.355588,1.08401
23,-0.10658,0.307446,1.10279
27,0.0,0.0,0.0
28,0.0,0.0,0.0
30,-0.26748,0.337437,1.0806
31,-0.135766,0.335613,1.0278
32,-0.285043,0.221115,0.971169
33,-0.0491777,0.335011,1.1151
35,0.0,0.0,0.0
45,-0.210668,0.563915,0.93293
