track_id,X,Y,Z
1,-0.260464,-0.448854,1.89195
2,0.0,0.0,0.0
5,-0.301254,-0.361779,1.83487
6,0.183973,-0.483757,1.80541
7,0.372264,-0.27264,1.76082
8,0.0,0.0,0.0
9,-0.0618436,-0.523754,1.8038
10,0.0,0.0,0.0
11,-0.150192,-0.493493,1.82044
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.112738,-0.294694,1.77818
17,-0.224587,-0.343653,1.75726
19,0.427529,-0.37052,1.79582
20,0.0,0.0,0.0
21,-0.164511,-0.394685,1.70975
23,0.0856224,-0.50416,1.81186
24,0.0755982,-0.398685,1.74518
25,0.198726,-0.310759,1.77689
26,-0.0776413,-0.34463,1.67819
28,0.273803,-0.29285,1.73906
29,0.0,0.0,0.0
30,-0.37672,-0.279071,1.9006
31,0.0,0.0,0.0
32,0.155634,-0.393746,1.78037
33,0.328741,-0.371866,1.75628
34,0.302824,-0.211506,1.80624
36,0.0,0.0,0.0
37,-0.0723709,-0.22169,1.69202
38,0.0,0.0,0.0
40,0.0167344,-0.326129,1.6918
43,0.449484,-0.438311,1.90315
