track_id,X,Y,Z
0,0.0,0.0,0.0
1,-0.288412,-0.466909,2.05602
2,-0.0307866,-0.439246,1.85423
7,-0.329418,-0.371843,1.98425
9,0.178337,-0.508124,1.97749
10,0.0,0.0,0.0
12,-0.0828927,-0.542084,1.96607
13,0.0,0.0,0.0
14,0.0,0.0,0.0
17,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
24,-0.24923,-0.354415,1.90122
26,0.445199,-0.390177,2.00229
28,0.244654,-0.445091,1.9118
29,-0.18567,-0.409669,1.84533
31,0.0,0.0,0.0
32,0.0657057,-0.414409,1.91686
33,0.0,0.0,0.0
34,-0.0955824,-0.354484,1.81816
37,0.277554,-0.304775,1.91988
38,-0.247249,-0.128712,2.03968
40,-0.407405,-0.289692,2.04768
43,-0.320592,-0.265375,1.93766
44,0.147354,-0.410469,1.95976
45,0.334494,-0.390492,1.93383
46,0.30823,-0.221918,2.00227
49,-0.179197,-0.284115,1.81138
50,0.0,0.0,0.0
51,0.551854,-0.377599,2.12829
60,0.000996991,-0.338913,1.84681
