track_id,X,Y,Z
5,0.0,0.0,0.0
7,0.588291,-0.56742,3.69355
8,0.930631,-0.924169,3.61785
9,1.5378,-0.718963,4.26204
10,0.0,0.0,0.0
11,0.419414,-0.728464,4.37474
13,1.03213,-0.570703,3.82059
14,0.0,0.0,0.0
15,-0.380838,-0.425433,3.83722
16,0.0,0.0,0.0
17,-0.174586,-1.39201,4.03931
18,-0.119475,-0.573552,3.94764
19,0.0,0.0,0.0
20,1.3933,-0.924035,3.99753
21,0.853969,-0.54438,3.83502
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,-0.237801,-0.310765,4.00289
25,-0.465673,-1.19284,4.35743
26,0.602442,-0.80816,3.433
27,0.0,0.0,0.0
28,0.973689,-0.687476,3.69568
29,0.733755,-0.644717,3.63438
30,1.13717,-1.04906,3.67872
31,0.797465,-0.826521,3.50682
32,1.46322,-1.10497,4.09651
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.243855,-1.37319,3.959
41,0.0,0.0,0.0
42,1.11646,-0.846809,3.62781
44,0.442931,-1.14806,3.54746
45,0.652582,-1.22281,3.69965
46,0.0,0.0,0.0
47,0.0,0.0,0.0
49,0.0,0.0,0.0
52,0.0,0.0,0.0
