track_id,X,Y,Z
0,0.0404009,-0.187769,1.33188
1,-0.195229,-0.34172,1.46926
2,-0.00272109,-0.331065,1.31528
7,-0.227358,-0.278678,1.41392
9,0.152025,-0.369715,1.41
10,0.303222,-0.208368,1.38984
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,-0.109606,-0.379189,1.41297
17,0.377399,-0.207556,1.42643
19,0.0,0.0,0.0
20,0.0,0.0,0.0
24,-0.167343,-0.268007,1.35099
26,0.0,0.0,0.0
28,0.199751,-0.325729,1.35687
30,-0.118284,-0.309289,1.30554
32,0.0754697,-0.386335,1.41996
33,0.0,0.0,0.0
36,0.163676,-0.233824,1.39309
37,-0.0539231,-0.271269,1.28916
40,0.0,0.0,0.0
44,-0.285664,-0.213134,1.45984
45,0.0,0.0,0.0
46,0.0,0.0,0.0
48,0.265407,-0.286502,1.37407
51,0.0,0.0,0.0
54,-0.0526325,-0.178542,1.29701
55,0.425051,-0.262644,1.50896
58,0.0189638,-0.257281,1.30302
