track_id,X,Y,Z
0,0.0205715,-0.104734,2.46359
1,0.0,0.0,0.0
2,-0.0635519,-0.340527,2.38032
7,-0.452586,-0.271836,2.55963
9,0.0,0.0,0.0
10,0.470396,-0.176031,2.53282
12,-0.13511,-0.489325,2.49543
13,0.0,0.0,0.0
14,-0.253846,-0.447588,2.5233
17,0.597731,-0.193825,2.61072
19,0.440703,-0.427477,2.54515
20,0.11712,-0.192936,2.51939
24,-0.345308,-0.232626,2.45228
26,0.540959,-0.313343,2.5524
28,0.287103,-0.355525,2.46941
30,-0.259406,-0.294712,2.36013
32,0.0673525,-0.481136,2.51102
33,0.059374,-0.320879,2.46797
34,0.229563,-0.216592,2.54596
36,-0.144878,-0.22295,2.35824
38,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
48,0.366623,-0.0952447,2.59969
50,0.0,0.0,0.0
51,0.0,0.0,0.0
54,0.658969,-0.324641,2.69051
56,0.0,0.0,0.0
57,0.560865,-0.431635,2.67587
58,0.0,0.0,0.0
