track_id,X,Y,Z
7,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
14,0.715148,-0.313482,2.0369
15,0.0,0.0,0.0
16,0.170426,-0.258724,1.86516
19,0.536294,-0.291508,1.73044
20,-0.177283,-0.168118,1.80793
21,-0.256028,-0.116426,1.90242
22,-0.0901142,-0.601394,1.87296
24,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.641629,-0.404852,1.89009
28,0.0,0.0,0.0
29,0.0,0.0,0.0
31,-0.115367,-0.124143,1.87321
34,0.267494,-0.342884,1.6158
36,-0.131296,-0.512687,1.69036
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.515834,-0.464143,1.72601
41,0.0,0.0,0.0
42,0.0,0.0,0.0
45,0.0,0.0,0.0
49,0.0,0.0,0.0
63,0.265854,-0.434066,1.65636
66,0.0328434,-0.535749,1.78274
69,0.10105,-0.594703,1.83311
71,0.0,0.0,0.0
75,0.506441,-0.362166,1.69705
77,0.190942,-0.489804,1.64738
78,0.310362,-0.558298,1.83176
80,0.0,0.0,0.0
82,0.0,0.0,0.0
