track_id,X,Y,Z
2,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.224998,-0.443902,3.7383
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,1.92287,-0.484583,4.49235
10,0.0,0.0,0.0
11,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,-0.241046,-0.106727,4.03575
16,-0.423433,0.000376791,4.29893
17,-0.0171427,-1.15133,4.11822
18,0.0556317,-0.271986,4.15678
19,0.0,0.0,0.0
20,1.73617,-0.685424,4.1492
21,0.0,0.0,0.0
22,-0.156297,-0.465741,4.08418
23,0.68658,-0.376717,3.58967
24,-0.0710038,0.0239097,4.23293
25,0.0,0.0,0.0
26,0.790009,-0.479843,3.43265
27,-0.181811,-1.43057,5.23133
28,1.22761,-0.390842,3.77536
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,1.01808,-0.515035,3.53743
32,1.80348,-0.886307,4.22346
34,0.130323,-0.110026,4.39795
35,-0.35497,-0.36321,4.21363
36,0.0,0.0,0.0
37,0.542857,-0.518647,3.52341
38,0.79748,-0.703939,3.54129
39,0.260617,-0.957027,3.79879
40,0.431616,-1.13498,4.01909
41,-0.429215,-0.251285,4.40142
42,1.36966,-0.547712,3.65315
44,0.61806,-0.837604,3.48692
45,0.888308,-0.989271,3.79175
46,0.39276,-0.311467,3.62065
47,0.0,0.0,0.0
