track_id,X,Y,Z
1,-0.453323,1.62955,2.95192
2,-0.653094,0.783213,3.27222
3,-0.43643,1.72666,2.98365
8,0.0,0.0,0.0
9,-0.779679,0.918076,3.1255
10,-0.49009,1.45998,2.91791
11,0.0,0.0,0.0
13,0.0,0.0,0.0
14,-0.572263,1.63866,2.9598
15,-0.358539,1.61167,2.99275
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,-0.670429,1.36838,3.03372
20,-0.6728,1.70675,3.03121
22,-0.138789,1.12685,3.22513
23,-0.188985,1.01348,3.36172
25,0.0,0.0,0.0
27,-0.193074,1.13268,3.02717
28,-0.329055,0.784891,3.57342
29,0.0,0.0,0.0
30,-0.643769,1.01258,3.08592
31,-0.321005,1.07362,3.09984
32,-0.782877,0.81679,3.22647
33,0.0,0.0,0.0
35,-0.554001,1.30169,2.94148
