track_id,X,Y,Z
1,-0.605844,1.7044,3.07458
2,-0.864548,0.759403,3.44338
3,-0.579277,1.84474,3.15448
8,0.0,0.0,0.0
9,-0.994299,0.919428,3.27659
10,0.0,0.0,0.0
11,0.0,0.0,0.0
13,-0.87629,1.16762,3.17251
14,0.0,0.0,0.0
15,-0.499742,1.6905,3.13986
16,-0.551861,1.42176,3.04093
17,-0.705765,1.20632,3.12246
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
22,-0.276518,1.14003,3.42027
23,0.0,0.0,0.0
25,-0.672994,1.83705,3.06855
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,-0.321884,0.82793,3.8542
30,-0.842014,1.00274,3.18788
31,-0.484937,1.06531,3.21632
32,-1.0067,0.805158,3.39412
33,-0.153161,1.09799,3.55902
35,-0.727203,1.32477,3.03091
