track_id,X,Y,Z
0,-0.0683208,0.376999,2.93188
1,-0.0925611,0.420092,2.96078
2,-0.231085,0.28747,2.88615
3,-0.370673,0.377135,2.87851
4,0.0291562,0.541336,2.99756
5,-0.297919,0.258455,2.86047
6,0.212305,0.559218,2.98359
7,-0.246325,0.385383,2.9205
8,0.00648965,0.110864,2.84337
9,-0.932998,0.10097,3.52801
10,-0.317271,0.517165,2.92398
11,-0.430919,0.250899,2.7487
12,0.1299,0.400384,2.95876
13,-0.10072,0.372736,2.52603
14,-0.852169,0.480254,2.47707
15,0.294958,0.486686,2.9839
16,-0.511362,0.470909,2.8353
17,0.396881,0.399818,2.94903
18,-0.900119,0.434593,2.41703
19,-0.177228,0.349473,2.92112
20,-0.673515,0.261431,2.62071
21,-0.508055,0.225438,2.54219
22,-0.684038,0.213143,2.50499
23,-0.692331,0.408074,2.66857
24,-0.394785,0.462566,2.89391
25,-0.213935,0.513357,2.99783
26,-0.786693,0.423506,2.60905
27,-0.580532,0.368993,2.74036
28,0.121062,0.473385,2.98235
29,0.363719,0.307839,2.95071
30,-0.493537,0.427168,2.80529
31,3.45766e-05,0.288028,2.92065
32,-0.165079,0.14813,2.82942
33,-0.145794,0.212626,2.90577
34,-0.235453,0.508148,2.15119
35,-0.122122,-0.0614534,3.35171
36,-1.23027,0.161854,3.41172
37,0.110782,0.0839332,2.87262
38,0.156249,0.586198,2.97271
39,-0.466913,0.273209,2.78968
40,-0.742674,0.36419,2.57089
41,-0.452991,0.169417,2.65356
42,-0.169118,0.551831,2.01733
43,-0.914085,0.37457,2.33802
44,-0.605784,0.450376,2.76154
45,-0.888341,0.343665,2.39262
46,0.312825,0.18176,2.91971
47,0.0911238,0.188043,2.95206
50,-0.883009,0.446138,2.50391
51,-0.605406,0.2175,2.72172
53,0.122252,0.412357,2.45059
54,-0.552905,0.301337,2.44594
61,-0.590539,0.329663,2.92227
62,0.00631765,0.245284,2.87644
63,1.01474,0.869533,1.80703
64,1.30837,1.1567,1.48451
65,-0.575468,0.290862,2.41398
66,-0.408137,0.310819,2.49285
73,0.651414,0.704002,2.02996
76,0.0903764,0.273289,3.03388
77,0.0450598,0.178768,2.79204
80,-0.0183332,0.397718,2.888
81,0.353553,0.23916,2.965
83,-0.909008,0.349494,3.00051
84,-0.217336,0.276703,2.97133
86,0.293282,0.136977,2.9406
87,-0.816764,0.252912,2.92844
88,-0.00745872,0.0903893,2.84126
90,0.325349,0.185525,2.6519
91,-0.44908,0.146256,2.65947
93,-0.168396,0.0892074,2.83438
94,-0.375615,0.488539,2.98073
95,-0.161174,0.351086,2.81622
97,-0.834022,0.27385,2.63163
98,0.0479131,0.569668,2.22373
100,-0.533958,0.381001,2.83761
101,0.386309,0.367656,2.97389
102,0.094256,0.0565587,2.89202
103,-0.470414,0.0657015,3.10956
105,-1.01035,0.449368,2.50701
106,0.206412,0.547036,3.01611
107,-0.877842,0.366511,2.46886
108,-7.882,-5.28515,20.2326
109,0.215293,0.390847,3.0043
110,-0.0765446,0.528635,3.03188
112,-0.0256507,0.638079,3.08771
113,0.104426,0.409897,3.05501
114,-0.727285,0.309107,2.66324
115,-0.0856611,0.305537,2.94125
116,-0.970882,0.461659,2.80714
117,0.0532703,0.584512,3.49951
118,-0.312068,0.405428,3.32941
