track_id,frame_id,label,X,Y,Z,img_name,x,y,r,vol_real,vol_rep,xrep,yrep,error,x1cm,y1cm,d2val1,d2val2
0,0,baya,-12.7227,-3.61294,49.272,VID_20220217_103801_F0.png,565,430,25.9311,2.03915,2.44627,566.8,430.779,1.96124,596.788,438.725,NULL,NULL
0,1,baya,-12.7227,-3.61294,49.272,VID_20220217_103801_F3.png,642,299,0,0,0,644.482,300.799,3.06497,647.218,272.329,NULL,NULL
1,0,val_2,-4.46943,0.42852,55.243,VID_20220217_103801_F0.png,839,547,0,0,0,839.144,546.995,0.143782,866.821,544.518,NULL,2.07939
1,1,val_2,-4.46943,0.42852,55.243,VID_20220217_103801_F3.png,922,476,0,0,0,921.856,476.015,0.144501,919.764,448.268,NULL,2.07939
2,0,val_1,-3.44775,0.469479,55.516,VID_20220217_103801_F0.png,868,548,0,0,0,868.022,547.997,0.0222573,895.437,544.514,2.11461,NULL
2,1,val_1,-3.44775,0.469479,55.516,VID_20220217_103801_F3.png,953,479,0,0,0,952.95,479.014,0.0516112,950.355,451.387,2.11461,NULL
3,0,baya,0,0,0,VID_20220217_103801_F0.png,453,379,24.3915,1.74157,2.49288,-nan,-nan,-1,-nan,-nan,NULL,NULL
3,1,baya,0,0,0,VID_20220217_103801_F3.png,538,253,0,0,0,725.625,-4366.85,-1,703.04,-4484.61,NULL,NULL
4,0,baya,-15.2927,-3.20302,49.292,VID_20220217_103801_F0.png,483,442,26.1397,0,0,486.876,442.741,3.94644,517.375,448.702,NULL,NULL
4,1,baya,-15.2927,-3.20302,49.292,VID_20220217_103801_F3.png,563,315,0,0,0,565.361,316.871,3.01271,569.484,288.411,NULL,NULL
5,0,cal_2,-10.4311,0.26555,53.9214,VID_20220217_103801_F0.png,665,543,0,0,0,666.277,542.935,1.27875,694.753,542.259,NULL,NULL
5,1,cal_2,-10.4311,0.26555,53.9214,VID_20220217_103801_F3.png,738,465,0,0,0,738.166,465.185,0.248013,739.106,436.967,NULL,NULL
6,0,val_1,-1.37354,0.550338,55.9194,VID_20220217_103801_F0.png,926,550,0,0,0,925.684,549.982,0.316285,951.182,540.449,NULL,NULL
6,1,val_1,-1.37354,0.550338,55.9194,VID_20220217_103801_F3.png,1015,482,0,0,0,1015.22,482.028,0.219636,1011.62,454.611,NULL,NULL
7,0,keypoint,-3.76382,-14.5707,47.8966,VID_20220217_103801_F0.png,842,95,0,1.31315,1.69321,842.711,99.8549,4.90671,850.732,128.828,NULL,NULL
7,1,keypoint,-3.76382,-14.5707,47.8966,VID_20220217_103801_F3.png,898,74,0,0,0,897.701,79.3878,5.39603,895.743,54.1452,NULL,NULL
8,0,baya,-13.9794,-3.79827,49.4955,VID_20220217_103801_F0.png,527,425,22.8432,1.28533,1.55835,529.593,425.886,2.74013,559.54,433.479,NULL,NULL
8,1,baya,-13.9794,-3.79827,49.4955,VID_20220217_103801_F3.png,606,305,0,0,0,608.6,306.86,3.19736,612.004,278.628,NULL,NULL
9,0,baya,-12.1428,-3.8403,50.8837,VID_20220217_103801_F0.png,595,427,21.5824,1.28333,1.73005,596.867,427.703,1.99485,625.648,436.197,NULL,NULL
9,1,baya,-12.1428,-3.8403,50.8837,VID_20220217_103801_F3.png,672,330,0,0,0,673.555,331.317,2.03783,675.798,303.54,NULL,NULL
10,0,baya,0,0,0,VID_20220217_103801_F0.png,461,296,24.558,0,0,-nan,-nan,-1,-nan,-nan,NULL,NULL
10,1,baya,0,0,0,VID_20220217_103801_F3.png,550,171,0,0,0,725.625,-4366.85,-1,703.04,-4484.61,NULL,NULL
11,0,baya,-12.9021,-5.78247,48.0526,VID_20220217_103801_F0.png,548,362,23.5458,1.30178,1.70078,551.002,363.4,3.31241,580.171,375.599,NULL,NULL
11,1,baya,-12.9021,-5.78247,48.0526,VID_20220217_103801_F3.png,633,234,0,0,0,635.056,236.702,3.39525,638.14,208.619,NULL,NULL
