nube1,tamaño_nube1,nube2,tamaño_nube2,matcheos,label,rmse,radio,giros
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_0_6.ply, 31, 31, True, 4.585952057443665e-16, 1, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_1_7.ply, 30, 26, True, 0.08788489646184743, 1, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_2_8.ply, 31, 26, True, 0.2739607876419564, 1, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_3_9.ply, 28, 28, True, 0.0759357392511474, 1, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_4_10.ply, 33, 30, True, 0.11255355486254098, 1, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_5_11.ply, 29, 24, True, 0.13921479264919132, 1, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_6_12.ply, 30, 30, True, 0.10595787512552962, 1, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_7_13.ply, 23, 26, True, 0.06836920636403838, 1, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_8_14.ply, 27, 26, True, 0.09441368482727344, 1, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_9_15.ply, 22, 20, True, 0.27094912263890114, 1, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_10_16.ply, 21, 25, True, 0.09911904680336593, 1, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_11_17.ply, 21, 22, True, 0.10326237819852868, 1, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_12_18.ply, 23, 25, True, 0.07891483810868864, 1, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_13_19.ply, 25, 23, True, 0.13820912462568286, 1, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_14_20.ply, 26, 24, True, 0.11736911924806166, 1, 8.0
