nube1,tamaño_nube1,nube2,tamaño_nube2,matcheos,label,rmse,radio,giros
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_0_6.ply, 31, 31, True, 3.997989798513385e-16, 0.5, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_1_7.ply, 30, 21, True, 0.033971600465488624, 0.5, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_2_8.ply, 31, 13, True, 0.11816260679616929, 0.5, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_3_9.ply, 28, 24, True, 0.037630924831747514, 0.5, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_4_10.ply, 33, 21, True, 0.07501451159546761, 0.5, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_5_11.ply, 29, 18, True, 0.06838999625779174, 0.5, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_6_12.ply, 30, 23, True, 0.03655598774985297, 0.5, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_7_13.ply, 23, 19, True, 0.026445966179788612, 0.5, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_8_14.ply, 27, 20, True, 0.03380249135858718, 0.5, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_9_15.ply, 22, 9, True, 0.17251110311022283, 0.5, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_10_16.ply, 21, 17, True, 0.038237185298385525, 0.5, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_11_17.ply, 21, 15, True, 0.03859014019924273, 0.5, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_12_18.ply, 23, 17, True, 0.031300410145659624, 0.5, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_13_19.ply, 25, 16, True, 0.04616194648696552, 0.5, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_14_20.ply, 26, 12, True, 0.04097336067525252, 0.5, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_15_21.ply, 25, 12, True, 0.03587541932777359, 0.5, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_16_22.ply, 24, 15, True, 0.05966298950805143, 0.5, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_17_23.ply, 25, 9, True, 0.10598310652762134, 0.5, 8.0
