track_id,X,Y,Z
1,-0.228624,-0.373741,1.59849
2,-0.02139,-0.370832,1.44606
3,0.327865,-0.165835,1.56385
4,0.179304,-0.202542,1.55564
5,-0.265671,-0.305878,1.5404
6,0.148707,-0.409985,1.5432
7,0.313368,-0.229918,1.5021
8,-0.136569,-0.130022,1.5008
9,-0.0623947,-0.443806,1.53958
10,-0.325612,-0.331462,1.6165
11,-0.138377,-0.417696,1.54566
12,0.395337,-0.226595,1.55124
13,0.298885,-0.381262,1.55862
14,0.0881155,-0.251114,1.50572
15,0.0511401,-0.166817,1.5183
16,-0.0355975,-0.149982,1.47735
17,-0.200575,-0.297531,1.47602
18,0.110665,-0.184354,1.56353
19,0.359342,-0.311416,1.53499
20,0.201146,-0.360588,1.49298
21,-0.148636,-0.347449,1.43809
22,-0.172382,-0.20804,1.47027
23,0.0640093,-0.428858,1.55054
24,0.0558997,-0.342437,1.48742
25,0.161139,-0.259587,1.51178
26,-0.0761301,-0.304018,1.41477
27,0.00558195,-0.106113,1.57384
28,0.226814,-0.251279,1.47694
29,-0.200019,-0.101673,1.55555
30,-0.328421,-0.232288,1.58031
31,-0.258568,-0.224634,1.49135
32,0.122301,-0.333901,1.51665
33,0.273704,-0.318123,1.49891
34,0.24747,-0.175235,1.52391
35,-0.0693075,-0.0829412,1.55994
36,-0.149154,-0.244927,1.40783
37,-0.0738442,-0.198367,1.41351
38,0.440862,-0.289034,1.6283
39,-0.279988,-0.14795,1.55764
40,0.00448356,-0.286669,1.43011
41,0.241779,-0.146094,1.60458
43,0.375667,-0.359813,1.63092
44,0.218268,-0.40745,1.5781
45,-0.00677326,-0.405048,1.51206
46,-0.0825215,-0.362447,1.48637
48,0.172025,-0.435154,1.64974
49,0.00209189,-0.402922,1.67104
50,0.0849488,-0.405963,1.70295
51,-0.302653,-0.320584,1.73245
54,0.295853,-0.34199,1.68135
55,-0.154608,-0.345881,1.53179
57,0.118633,-0.42039,1.61693
