track_id,X,Y,Z
3,-2.65896,0.399547,6.12707
4,-1.66374,0.410428,6.01846
6,-1.06316,-0.229252,5.946
7,-1.85,0.51876,6.18007
8,0.121116,0.946662,6.13896
9,0.353227,0.123948,6.1057
10,-2.07101,0.37199,5.94103
11,-0.599185,0.126309,5.4394
12,-2.12847,0.471631,6.05676
13,-1.87827,-0.477567,6.14869
14,-1.7956,-0.158331,6.04377
15,-0.447787,0.224782,5.72513
16,0.324333,-0.219712,5.88717
17,-0.827074,-0.531698,5.86563
18,-0.796009,0.764933,5.54222
19,-0.482546,0.625805,5.32267
20,-0.116839,0.0746245,5.53233
21,-2.40708,0.106645,5.99501
22,-0.447324,-0.454532,6.36178
23,-0.891275,0.36163,5.50234
24,-0.889108,0.00133866,5.66372
25,-2.31706,-0.28389,5.99903
26,-0.429235,0.885341,5.63915
27,-1.08007,0.548772,5.89122
28,-0.0489072,0.782546,5.65965
29,-1.49885,-0.571932,6.01321
30,-1.70279,0.096469,5.84132
31,-0.0480476,-0.401174,5.86204
32,-2.42935,0.543863,5.96444
33,-1.29253,0.107308,5.81318
37,-2.93792,-0.0237546,7.15955
39,-0.448096,-0.414065,5.91245
41,-1.11869,-0.525472,6.22618
42,-1.32398,-0.501558,6.57005
45,-0.319634,0.53044,5.6837
46,-0.272303,-0.157595,5.80121
49,-0.039924,-0.388841,6.2407
50,-2.06275,-0.108267,6.17755
51,-2.78172,0.285347,6.55665
53,0.488064,0.387724,6.34811
55,-2.33021,-0.247472,6.59147
60,-0.341076,0.227829,7.48908
62,-0.950495,-0.0275399,5.25728
64,-0.760129,-0.332798,6.24262
66,3.13886,-2.55885,7.03431
67,-0.903603,-0.591182,6.34506
71,-0.439987,0.215463,5.69945
73,-0.050443,-0.411082,5.90197
76,-1.85308,0.552807,6.18365
77,-0.420854,0.873127,5.55396
78,0.34278,0.118328,6.1039
79,-2.41598,0.688016,6.74611
80,0.444709,0.815733,6.52403
81,-2.736,0.457163,6.26363
82,-1.04661,0.534006,5.74534
83,-0.0217877,1.10908,6.59857
84,-0.466441,-0.182949,7.87943
85,-2.25263,-0.236036,6.45882
86,-1.3389,0.423489,6.0512
87,-1.55539,-0.364913,6.30005
