,nube1,tamaño_nube1,nube2,tamaño_nube2,matcheos,overlap,label,rmse,radio,giros
0,VID_20220217_165020_mod6_0_16.ply,31,VID_20220217_165020_mod6_0_16.ply,31,31,31,True,3.971650116478921e-15,0.6,8.0
1,VID_20220217_165020_mod6_0_16.ply,31,VID_20220217_153655_mod6_0_16.ply,30,3,0,False,0.011237350247298493,0.6,8.0
2,VID_20220217_165020_mod6_0_16.ply,31,VID_20220217_182816_mod6_0_16.ply,66,3,0,False,5.388174435941657e-05,0.6,8.0
3,VID_20220217_165020_mod6_0_16.ply,31,VID_20220217_181455_mod6_0_14.ply,35,2,0,False,6.507486626957298e-17,0.6,8.0
4,VID_20220217_165020_mod6_0_16.ply,31,VID_20220217_153655_mod8_0_12.ply,30,3,0,False,0.052960882221220903,0.6,8.0
5,VID_20220217_165020_mod6_0_16.ply,31,VID_20220217_154128_mod4_2_24.ply,77,3,0,False,0.0008369239128791796,0.6,8.0
6,VID_20220217_165020_mod6_0_16.ply,31,VID_20220217_175741_mod4_0_22.ply,60,3,0,False,0.002348008205105379,0.6,8.0
7,VID_20220217_165020_mod6_0_16.ply,31,VID_20220217_182816_mod8_0_12.ply,59,3,0,False,0.006427158950329881,0.6,8.0
8,VID_20220217_165020_mod6_0_16.ply,31,VID_20220217_175741_mod8_0_11.ply,51,3,0,False,0.0004818438439266637,0.6,8.0
9,VID_20220217_165020_mod6_0_16.ply,31,VID_20220217_181455_mod8_0_11.ply,36,3,0,False,0.003480970751669659,0.6,8.0
10,VID_20220217_165020_mod6_0_16.ply,31,VID_20220217_154128_mod8_1_12.ply,55,3,0,False,0.00021373582515550122,0.6,8.0
11,VID_20220217_165020_mod6_0_16.ply,31,VID_20220217_181455_mod4_0_21.ply,38,3,0,False,0.3198108547002725,0.6,8.0
12,VID_20220217_165020_mod6_0_16.ply,31,VID_20220217_165020_mod8_0_12.ply,29,3,28,True,4.185813105514614e-05,0.6,8.0
13,VID_20220217_165020_mod6_0_16.ply,31,VID_20220217_154128_mod6_1_15.ply,67,3,0,False,2.0107762013639447e-05,0.6,8.0
14,VID_20220217_165020_mod6_0_16.ply,31,VID_20220217_175741_mod6_0_15.ply,54,3,0,False,0.005058954291074182,0.6,8.0
15,VID_20220217_165020_mod6_0_16.ply,31,VID_20220217_153655_mod4_0_24.ply,32,3,0,False,0.0010365252629798306,0.6,8.0
16,VID_20220217_165020_mod6_0_16.ply,31,VID_20220217_182816_mod4_0_23.ply,75,3,0,False,0.005325788070378068,0.6,8.0
17,VID_20220217_165020_mod6_0_16.ply,31,VID_20220217_165020_mod4_0_24.ply,34,4,31,True,2.6438529616718753e-05,0.6,8.0
18,VID_20220217_153655_mod6_0_16.ply,30,VID_20220217_153655_mod6_0_16.ply,30,30,30,True,1.3271429893382058e-15,0.6,8.0
19,VID_20220217_153655_mod6_0_16.ply,30,VID_20220217_182816_mod6_0_16.ply,66,7,0,False,0.003599090287891695,0.6,8.0
20,VID_20220217_153655_mod6_0_16.ply,30,VID_20220217_181455_mod6_0_14.ply,35,7,0,False,0.0674333424984765,0.6,8.0
21,VID_20220217_153655_mod6_0_16.ply,30,VID_20220217_153655_mod8_0_12.ply,30,20,30,True,0.042769816527233405,0.6,8.0
22,VID_20220217_153655_mod6_0_16.ply,30,VID_20220217_154128_mod4_2_24.ply,77,9,0,False,0.013381478759171695,0.6,8.0
23,VID_20220217_153655_mod6_0_16.ply,30,VID_20220217_175741_mod4_0_22.ply,60,8,0,False,0.08055677338812817,0.6,8.0
24,VID_20220217_153655_mod6_0_16.ply,30,VID_20220217_182816_mod8_0_12.ply,59,9,0,False,0.10240888142825118,0.6,8.0
25,VID_20220217_153655_mod6_0_16.ply,30,VID_20220217_175741_mod8_0_11.ply,51,7,0,False,0.15631028943600692,0.6,8.0
26,VID_20220217_153655_mod6_0_16.ply,30,VID_20220217_181455_mod8_0_11.ply,36,7,0,False,0.10842758813331589,0.6,8.0
27,VID_20220217_153655_mod6_0_16.ply,30,VID_20220217_154128_mod8_1_12.ply,55,7,0,False,0.009035658653631897,0.6,8.0
28,VID_20220217_153655_mod6_0_16.ply,30,VID_20220217_181455_mod4_0_21.ply,38,8,0,False,0.02652896573241893,0.6,8.0
29,VID_20220217_153655_mod6_0_16.ply,30,VID_20220217_165020_mod8_0_12.ply,29,7,0,False,0.0008420610446180873,0.6,8.0
30,VID_20220217_153655_mod6_0_16.ply,30,VID_20220217_154128_mod6_1_15.ply,67,8,0,False,0.0015351405060045258,0.6,8.0
31,VID_20220217_153655_mod6_0_16.ply,30,VID_20220217_175741_mod6_0_15.ply,54,8,0,False,0.14925322873817476,0.6,8.0
32,VID_20220217_153655_mod6_0_16.ply,30,VID_20220217_153655_mod4_0_24.ply,32,17,30,True,0.04122926629079557,0.6,8.0
33,VID_20220217_153655_mod6_0_16.ply,30,VID_20220217_182816_mod4_0_23.ply,75,8,0,False,0.06984002832446823,0.6,8.0
34,VID_20220217_153655_mod6_0_16.ply,30,VID_20220217_165020_mod4_0_24.ply,34,6,0,False,0.0003829808377242535,0.6,8.0
35,VID_20220217_182816_mod6_0_16.ply,66,VID_20220217_182816_mod6_0_16.ply,66,66,66,True,3.704765163244055e-16,0.6,8.0
36,VID_20220217_182816_mod6_0_16.ply,66,VID_20220217_181455_mod6_0_14.ply,35,3,0,False,0.00686577606098249,0.6,8.0
37,VID_20220217_182816_mod6_0_16.ply,66,VID_20220217_153655_mod8_0_12.ply,30,3,0,False,0.000846323533388205,0.6,8.0
38,VID_20220217_182816_mod6_0_16.ply,66,VID_20220217_154128_mod4_2_24.ply,77,4,0,False,0.001440769229500034,0.6,8.0
39,VID_20220217_182816_mod6_0_16.ply,66,VID_20220217_175741_mod4_0_22.ply,60,3,0,False,0.0027805945003975497,0.6,8.0
40,VID_20220217_182816_mod6_0_16.ply,66,VID_20220217_182816_mod8_0_12.ply,59,34,58,True,0.013705587343782502,0.6,8.0
41,VID_20220217_182816_mod6_0_16.ply,66,VID_20220217_175741_mod8_0_11.ply,51,3,0,False,0.0191311534405824,0.6,8.0
42,VID_20220217_182816_mod6_0_16.ply,66,VID_20220217_181455_mod8_0_11.ply,36,3,0,False,0.007463346641753088,0.6,8.0
43,VID_20220217_182816_mod6_0_16.ply,66,VID_20220217_154128_mod8_1_12.ply,55,4,0,False,0.0022868884470054083,0.6,8.0
44,VID_20220217_182816_mod6_0_16.ply,66,VID_20220217_181455_mod4_0_21.ply,38,3,0,False,0.21415197913228368,0.6,8.0
45,VID_20220217_182816_mod6_0_16.ply,66,VID_20220217_165020_mod8_0_12.ply,29,3,0,False,6.998572125220382e-05,0.6,8.0
46,VID_20220217_182816_mod6_0_16.ply,66,VID_20220217_154128_mod6_1_15.ply,67,3,0,False,5.0173358084180386e-05,0.6,8.0
47,VID_20220217_182816_mod6_0_16.ply,66,VID_20220217_175741_mod6_0_15.ply,54,3,0,False,0.026291769097447935,0.6,8.0
48,VID_20220217_182816_mod6_0_16.ply,66,VID_20220217_153655_mod4_0_24.ply,32,3,0,False,0.0010666433597349674,0.6,8.0
