,subnube1,tamaño_subnube1,subnube2,tamaño_subnube2,matcheos,overlap,rmse,radio,giros,nube_completa
56,0.0,5.0,9.0,6.0,5.0,5.0,8.956261528117188e-16,0.3,4.0,14.0
57,0.0,5.0,9.0,6.0,5.0,5.0,6.984221656875901e-16,0.4,4.0,14.0
58,0.0,5.0,9.0,6.0,5.0,5.0,6.141269226226546e-16,0.5,4.0,14.0
59,0.0,5.0,9.0,6.0,5.0,5.0,6.9875689087249e-16,1.0,4.0,14.0
60,0.0,5.0,10.0,6.0,4.0,4.0,7.574981649353573e-16,0.1,4.0,14.0
61,0.0,5.0,10.0,6.0,4.0,4.0,0.07101247224582126,0.2,4.0,14.0
62,0.0,5.0,10.0,6.0,4.0,4.0,0.07101247224582108,0.3,4.0,14.0
63,0.0,5.0,10.0,6.0,4.0,4.0,0.07101247224582119,0.4,4.0,14.0
64,0.0,5.0,10.0,6.0,4.0,4.0,0.07101247224582122,0.5,4.0,14.0
65,0.0,5.0,10.0,6.0,5.0,4.0,0.6275613178424022,1.0,4.0,14.0
66,1.0,5.0,1.0,5.0,5.0,5.0,5.378301706623625e-16,0.1,4.0,14.0
67,1.0,5.0,1.0,5.0,5.0,5.0,5.711734827589083e-16,0.2,4.0,14.0
68,1.0,5.0,1.0,5.0,5.0,5.0,1.1902214762493006e-15,0.3,4.0,14.0
69,1.0,5.0,1.0,5.0,5.0,5.0,1.1032781348140201e-15,0.4,4.0,14.0
70,1.0,5.0,1.0,5.0,5.0,5.0,1.087931927236264e-15,0.5,4.0,14.0
71,1.0,5.0,1.0,5.0,5.0,5.0,1.087931927236264e-15,1.0,4.0,14.0
72,1.0,5.0,2.0,5.0,4.0,4.0,1.2552055748735448e-15,0.1,4.0,14.0
73,1.0,5.0,2.0,5.0,4.0,4.0,5.379674721963037e-16,0.2,4.0,14.0
74,1.0,5.0,2.0,5.0,4.0,4.0,1.0141800605536932e-15,0.3,4.0,14.0
75,1.0,5.0,2.0,5.0,4.0,4.0,5.379674721963037e-16,0.4,4.0,14.0
76,1.0,5.0,2.0,5.0,4.0,4.0,1.2552055748735448e-15,0.5,4.0,14.0
77,1.0,5.0,2.0,5.0,4.0,4.0,0.5779020196483007,1.0,4.0,14.0
78,1.0,5.0,3.0,5.0,4.0,4.0,8.252719368157457e-16,0.1,4.0,14.0
79,1.0,5.0,3.0,5.0,4.0,4.0,7.063054314298021e-16,0.2,4.0,14.0
80,1.0,5.0,3.0,5.0,4.0,4.0,8.252719368157457e-16,0.3,4.0,14.0
81,1.0,5.0,3.0,5.0,4.0,4.0,9.206355715571086e-16,0.4,4.0,14.0
82,1.0,5.0,3.0,5.0,4.0,4.0,8.8685843085534735e-16,0.5,4.0,14.0
83,1.0,5.0,3.0,5.0,5.0,4.0,0.8286153384996594,1.0,4.0,14.0
84,1.0,5.0,4.0,5.0,3.0,3.0,1.9229626863835638e-16,0.1,4.0,14.0
85,1.0,5.0,4.0,5.0,3.0,3.0,7.207504176211215e-17,0.2,4.0,14.0
86,1.0,5.0,4.0,5.0,3.0,3.0,1.9229626863835638e-16,0.3,4.0,14.0
87,1.0,5.0,4.0,5.0,3.0,3.0,7.207504176211217e-17,0.4,4.0,14.0
88,1.0,5.0,4.0,5.0,3.0,3.0,7.207504176211217e-17,0.5,4.0,14.0
89,1.0,5.0,4.0,5.0,4.0,3.0,0.3212691093206104,1.0,4.0,14.0
90,1.0,5.0,5.0,5.0,2.0,4.0,0.06834629907729972,0.1,4.0,14.0
91,1.0,5.0,5.0,5.0,2.0,4.0,0.06834629907729972,0.2,4.0,14.0
92,1.0,5.0,5.0,5.0,3.0,4.0,0.1616533769951703,0.3,4.0,14.0
