,subnube1,tamaño_subnube1,subnube2,tamaño_subnube2,matcheos,overlap,rmse,radio,giros,nube_completa
0,0,5,0,5,5,5,9.267607389620186e-16,0.1,4,6
0,0,5,0,5,5,5,9.1303194084542e-16,0.2,4,6
0,0,5,0,5,5,5,1.0247653862437058e-15,0.3,4,6
0,0,5,0,5,5,5,9.49449904272015e-16,0.4,4,6
0,0,5,0,5,5,5,1.0247653862437058e-15,0.5,4,6
0,0,5,0,5,5,5,9.49449904272015e-16,1.0,4,6
0,0,5,1,5,4,4,8.414602504347189e-16,0.1,4,6
0,0,5,1,5,4,4,8.414602504347189e-16,0.2,4,6
0,0,5,1,5,4,4,8.414602504347189e-16,0.3,4,6
0,0,5,1,5,4,4,8.414602504347189e-16,0.4,4,6
0,0,5,1,5,4,4,8.414602504347189e-16,0.5,4,6
0,0,5,1,5,4,4,0.471999217097155,1.0,4,6
0,0,5,2,5,2,1,0.04201218990420119,0.1,4,6
0,0,5,2,5,2,1,0.04201218990420119,0.2,4,6
0,0,5,2,5,2,1,0.04201218990420119,0.3,4,6
0,0,5,2,5,2,1,0.04201218990420119,0.4,4,6
0,0,5,2,5,3,1,0.15298423906507153,0.5,4,6
0,0,5,2,5,5,1,0.7782760987170276,1.0,4,6
0,0,5,3,5,2,3,0.08471886115821425,0.1,4,6
0,0,5,3,5,2,3,0.08471886115821425,0.2,4,6
0,0,5,3,5,3,3,0.0844719571684157,0.3,4,6
0,0,5,3,5,3,3,0.0844719571684157,0.4,4,6
0,0,5,3,5,4,3,0.2732174432154184,0.5,4,6
0,0,5,3,5,5,3,0.5915892812355165,1.0,4,6
0,0,5,4,5,2,1,0.06303533139451567,0.1,4,6
0,0,5,4,5,2,1,0.06303533139451567,0.2,4,6
0,0,5,4,5,2,1,0.06303533139451567,0.3,4,6
0,0,5,4,5,3,1,0.15769037857170592,0.4,4,6
0,0,5,4,5,3,1,0.15298423906507153,0.5,4,6
0,0,5,4,5,5,1,0.6044952343670397,1.0,4,6
0,0,5,5,5,3,3,1.8513106462298594e-16,0.1,4,6
0,0,5,5,5,3,3,1.8513106462298594e-16,0.2,4,6
0,0,5,5,5,3,3,1.8513106462298594e-16,0.3,4,6
