,racimo_id,avg_vol,avg_vol_anynan,nan_counts,no_nan_counts,val_1,val_2,val_dist
0,VID_20220217_102300,2.863281732913255,,8,15,1.84678,1.86583,2
1,VID_20220217_105340,1.8298828580168853,,7,22,2.05785,2.06679,2
2,VID_20220217_105534,2.7509468500080785,,12,22,1.91455,1.96889,2
3,VID_20220217_112247,1.8367248979367128,,7,24,1.84786,1.91416,2
4,VID_20220217_101324,2.5091842901446872,,3,13,1.80221,1.89118,2
5,VID_20220217_111708,2.7361069463191554,,8,22,1.92234,1.93887,2
6,VID_20220217_103114,3.0814096823217216,,2,16,1.88877,1.92188,2
7,VID_20220217_103846,1.961447411959471,,17,24,2.09991,2.07626,2
8,VID_20220217_111441,2.937495959196009,,8,25,1.82089,1.90657,2
9,VID_20220217_104436,2.7834816752182507,,6,19,1.94933,1.99174,2
10,VID_20220217_104747,1.760671405547318,,10,14,2.0694,2.0433,2
11,VID_20220217_112339,3.096574708172592,,10,13,1.81097,1.85532,2
12,VID_20220217_103355,3.9411165441095575,,6,20,1.85613,1.90895,2
13,VID_20220217_112220,2.250309533801436,,8,21,1.81928,1.88639,2
14,VID_20220217_103216,2.3935639314584978,,5,11,2.11195,2.06425,2
15,VID_20220217_103612,2.774519872484942,,4,34,1.86361,1.92753,2
16,VID_20220217_111117,2.726429009811159,,6,24,62.0489,1.94452,2
17,VID_20220217_105729,3.0596328317965154,,8,27,1.86956,1.90788,2
18,VID_20220217_104058,3.688882682806062,,12,27,1.87834,,2
19,VID_20220217_103426,2.871745428456458,,8,23,1.82152,1.88831,2
20,VID_20220217_104011,1.672140955315319,,7,24,2.14299,2.05842,2
21,VID_20220217_111254,2.684502999147368,,5,23,1.83653,1.86599,2
22,VID_20220217_110950,3.058529080245504,,9,20,1.8779,1.96143,2
23,VID_20220217_105931,3.444870598768672,,13,23,59.0233,1.97473,2
24,VID_20220217_105657,2.880753215808052,,10,17,1.82521,1.8986,2
25,VID_20220217_111411,2.86383838102884,,13,24,1.8468,1.90469,2
26,VID_20220217_102410,2.2977434638879553,,9,15,2.13833,2.06518,2
27,VID_20220217_103003,2.1741478734145225,,16,28,54.3922,1.96117,2
28,VID_20220217_110920,2.22406086545847,,8,21,2.05303,2.02621,2
29,VID_20220217_101834,2.934861854919227,,10,24,1.87986,1.92329,2
30,VID_20220217_111920,2.6804595443564145,,9,27,1.83037,1.8919,2
31,VID_20220217_101543,2.4473434614667298,,6,19,1.88625,1.92686,2
