,track_id,frame_id,label,X,Y,Z,img_name,x,y,r,vol_real,vol_rep,xrep,yrep,error,x1cm,y1cm,d2val1,d2val2
33,16,1,keypoint,2.08597,4.67914,37.4651,VID_20220324_172826_F-1.png,1095,768,0.0,0.0,0.0,1094.55,766.952,1.13837,1049.49,771.833,,
34,17,0,keypoint,2.00956,6.75313,37.095,VID_20220324_172826_F10.png,1068,790,0.0,0.0,0.0,1067.72,789.807,0.336394,1056.71,755.259,,
35,17,1,keypoint,2.00956,6.75313,37.095,VID_20220324_172826_F-1.png,1093,859,0.0,0.0,0.0,1092.37,857.624,1.51136,1046.85,860.407,,
36,18,0,keypoint,3.87774,6.73005,36.5079,VID_20220324_172826_F10.png,1143,794,0.0,0.0,0.0,1142.27,792.876,1.33941,1122.68,761.143,,
37,18,1,keypoint,3.87774,6.73005,36.5079,VID_20220324_172826_F-1.png,1142,872,0.0,0.0,0.0,1141.15,871.045,1.28118,1092.94,874.045,,
38,19,0,keypoint,3.94702,4.66213,36.86,VID_20220324_172826_F10.png,1144,716,0.0,0.0,0.0,1143.51,715.509,0.693555,1118.4,687.824,,
39,19,1,keypoint,3.94702,4.66213,36.86,VID_20220324_172826_F-1.png,1143,776,0.0,0.0,0.0,1142.39,775.423,0.840345,1094.67,780.59,,
40,20,0,val_2,2.39829,-6.04198,38.791,VID_20220324_172826_F10.png,1079,338,0.0,0.0,0.0,1078.69,338.135,0.34153,1065.06,370.172,,2.11409
41,20,1,val_2,2.39829,-6.04198,38.791,VID_20220324_172826_F-1.png,1086,313,0.0,0.0,0.0,1085.65,314.024,1.08255,1043.94,328.729,,2.11409
42,21,0,val_2,2.40659,-3.92946,38.8721,VID_20220324_172826_F10.png,1079,411,0.0,0.0,0.0,1078.81,411.233,0.301956,1059.56,440.565,,
43,21,1,val_2,2.40659,-3.92946,38.8721,VID_20220324_172826_F-1.png,1100,401,0.0,0.0,0.0,1099.72,401.274,0.389642,1057.43,414.091,,
44,22,0,keypoint,4.34795,-3.90406,38.5881,VID_20220324_172826_F10.png,1152,411,0.0,0.0,0.0,1151.52,411.118,0.490756,1123.9,434.268,,
45,22,1,keypoint,4.34795,-3.90406,38.5881,VID_20220324_172826_F-1.png,1160,389,0.0,0.0,0.0,1159.46,389.624,0.826948,1114.89,402.857,,
46,23,0,keypoint,4.35595,-6.00708,38.4669,VID_20220324_172826_F10.png,1153,337,0.0,0.0,0.0,1152.33,337.593,0.894656,1130.47,365.733,,
47,23,1,keypoint,4.35595,-6.00708,38.4669,VID_20220324_172826_F-1.png,1145,297,0.0,0.0,0.0,1144.27,298.03,1.26254,1100.23,313.222,,
48,24,0,keypoint,-7.0706,-6.30553,37.011,VID_20220324_172826_F10.png,716,318,0.0,0.0,0.0,716.479,318.597,0.765824,745.364,342.642,,
49,24,1,keypoint,-7.0706,-6.30553,37.011,VID_20220324_172826_F-1.png,771,370,0.0,0.0,0.0,771.272,370.431,0.509378,736.531,384.959,,
50,25,0,keypoint,-7.30793,-4.24748,37.1551,VID_20220324_172826_F10.png,708,393,0.0,0.0,0.0,708.392,393.542,0.669246,741.723,411.626,,
51,25,1,keypoint,-7.30793,-4.24748,37.1551,VID_20220324_172826_F-1.png,780,444,0.0,0.0,0.0,780.113,443.964,0.118467,744.862,456.619,,
52,26,0,keypoint,-5.78791,-4.13539,38.3968,VID_20220324_172826_F10.png,774,402,0.0,0.0,0.0,774.207,402.389,0.440627,804.561,422.633,,
53,26,1,keypoint,-5.78791,-4.13539,38.3968,VID_20220324_172826_F-1.png,853,439,0.0,0.0,0.0,853.019,438.964,0.0409473,817.364,451.178,,
54,27,0,keypoint,-5.51788,-6.23051,38.2134,VID_20220324_172826_F10.png,783,328,0.0,0.0,0.0,783.293,328.39,0.487781,808.145,354.584,,
55,27,1,keypoint,-5.51788,-6.23051,38.2134,VID_20220324_172826_F-1.png,844,363,0.0,0.0,0.0,844.148,363.457,0.480264,808.904,377.535,,
56,28,0,keypoint,-1.03933,4.68984,38.0576,VID_20220324_172826_F10.png,951,711,0.0,0.0,0.0,951.009,711.161,0.161308,959.152,676.86,,
57,28,1,keypoint,-1.03933,4.68984,38.0576,VID_20220324_172826_F-1.png,1013,758,0.0,0.0,0.0,1012.83,757.383,0.639817,971.244,761.9,,
58,29,0,keypoint,-1.16413,6.76609,37.7816,VID_20220324_172826_F10.png,946,786,0.0,0.0,0.0,945.992,785.842,0.158552,952.42,750.965,,
59,29,1,keypoint,-1.16413,6.76609,37.7816,VID_20220324_172826_F-1.png,1012,841,0.0,0.0,0.0,1011.72,839.971,1.06562,969.848,842.457,,
60,30,0,keypoint,0.782513,6.89184,37.6722,VID_20220324_172826_F10.png,1020,791,0.0,0.0,0.0,1019.88,791.001,0.119999,1015.59,755.735,,
61,30,1,keypoint,0.782513,6.89184,37.6722,VID_20220324_172826_F-1.png,1070,854,0.0,0.0,0.0,1069.47,852.587,1.50728,1025.72,855.115,,
62,31,0,keypoint,0.844694,4.83011,38.0201,VID_20220324_172826_F10.png,1022,716,0.0,0.0,0.0,1021.95,716.256,0.261046,1015.46,681.615,,
63,31,1,keypoint,0.844694,4.83011,38.0201,VID_20220324_172826_F-1.png,1071,767,0.0,0.0,0.0,1070.66,766.14,0.926165,1027.32,770.697,,
64,32,0,keypoint,-0.253391,-8.76131,39.1055,VID_20220324_172826_F10.png,981,246,0.0,0.0,0.0,980.845,246.831,0.845669,981.904,281.009,,
65,32,1,keypoint,-0.253391,-8.76131,39.1055,VID_20220324_172826_F-1.png,998,228,0.0,0.0,0.0,997.782,229.315,1.33316,959.745,245.674,,
66,33,0,keypoint,-0.360717,-6.64036,39.1184,VID_20220324_172826_F10.png,977,319,0.0,0.0,0.0,976.918,319.424,0.432127,978.904,353.554,,
67,33,1,keypoint,-0.360717,-6.64036,39.1184,VID_20220324_172826_F-1.png,1006,312,0.0,0.0,0.0,1005.86,312.651,0.66662,967.17,327.279,,
68,34,0,keypoint,1.56852,-6.53541,38.9863,VID_20220324_172826_F10.png,1048,322,0.0,0.0,0.0,1047.76,322.255,0.352724,1039.18,355.604,,
69,34,1,keypoint,1.56852,-6.53541,38.9863,VID_20220324_172826_F-1.png,1062,300,0.0,0.0,0.0,1061.7,300.999,1.04275,1021.12,315.895,,
70,35,0,keypoint,1.69826,-8.63426,38.9469,VID_20220324_172826_F10.png,1053,249,0.0,0.0,0.0,1052.59,249.973,1.05782,1045.49,283.659,,
71,35,1,keypoint,1.69826,-8.63426,38.9469,VID_20220324_172826_F-1.png,1054,213,0.0,0.0,0.0,1053.51,214.474,1.55189,1013.52,231.146,,
72,36,0,keypoint,-0.198499,-11.2428,38.2819,VID_20220324_172826_F10.png,983,152,0.0,0.0,0.0,982.699,153.714,1.74037,983.36,188.636,,
73,36,1,keypoint,-0.198499,-11.2428,38.2819,VID_20220324_172826_F-1.png,962,126,0.0,0.0,0.0,961.754,128.042,2.05668,924.078,146.783,,
74,37,0,keypoint,-0.227199,-9.36954,39.1156,VID_20220324_172826_F10.png,982,225,0.0,0.0,0.0,981.807,226.118,1.13487,982.694,260.291,,
75,37,1,keypoint,-0.227199,-9.36954,39.1156,VID_20220324_172826_F-1.png,996,204,0.0,0.0,0.0,995.731,205.404,1.42967,957.906,222.237,,
76,38,0,keypoint,1.7243,-9.23979,38.9582,VID_20220324_172826_F10.png,1054,228,0.0,0.0,0.0,1053.53,229.277,1.36245,1046.78,263.015,,
77,38,1,keypoint,1.7243,-9.23979,38.9582,VID_20220324_172826_F-1.png,1052,188,0.0,0.0,0.0,1051.44,189.572,1.66733,1011.66,206.729,,
78,39,0,keypoint,1.75994,-11.1157,38.0982,VID_20220324_172826_F10.png,1057,154,0.0,0.0,0.0,1056.3,156.284,2.3896,1050.42,190.947,,
79,39,1,keypoint,1.75994,-11.1157,38.0982,VID_20220324_172826_F-1.png,1017,106,0.0,0.0,0.0,1016.37,107.935,2.03533,976.63,127.085,,
80,40,0,val_1,8.25863,-0.32392,35.8247,VID_20220324_172826_F10.png,1322,534,0.0,0.0,0.0,1320.34,534.304,1.69047,1280.38,535.766,2.11082,
81,40,1,val_1,8.25863,-0.32392,35.8247,VID_20220324_172826_F-1.png,1258,543,0.0,0.0,0.0,1256.94,542.886,1.06375,1203.14,554.399,2.11082,
