track_id,X,Y,Z
1,-0.0318806,0.52046,1.48207
4,-0.0811214,0.148501,1.40399
6,0.0432897,0.45067,1.43049
9,0.0100419,0.0384466,1.44376
11,0.290118,-0.162217,1.48013
12,0.0272759,-0.0744732,1.46898
15,0.000978835,0.343694,1.41402
16,-0.0558892,0.0769737,1.40445
18,0.103701,0.311509,1.43945
19,0.0654606,0.385426,1.45994
20,-0.0516905,-0.0916842,1.4994
23,-0.0442075,-0.170727,1.49896
25,-0.065215,0.457761,1.44123
26,0.349851,-0.053337,1.48131
30,0.0570956,-0.179636,1.43181
32,0.0126338,0.1839,1.3959
38,-0.0822822,0.228132,1.41801
42,-0.108043,0.116633,1.47359
47,-0.0950842,0.207138,1.4889
51,-0.139344,0.4853,1.55301
54,-0.10606,0.35013,1.52781
56,-0.101999,0.265507,1.51985
59,0.160414,-0.219007,1.53453
62,0.0550983,0.248094,1.43062
66,0.11321,0.229257,1.47082
71,0.237883,-0.190421,1.43141
73,0.144928,-0.0530892,1.43263
74,-0.0541617,-0.292638,1.56163
75,-0.0679477,0.151063,1.40138
77,0.170873,0.0995704,1.54689
80,0.265168,-0.0973099,1.44718
83,-0.0881975,0.376632,1.44085
