track_id,X,Y,Z
3,0.348699,1.68779,6.34373
5,0.470122,-0.29956,6.70612
6,0.862852,0.256696,6.50058
8,0.337984,0.95785,6.10643
9,-0.665678,-0.342568,6.4503
12,0.561915,0.747091,6.3924
18,-0.404338,1.0406,6.13722
21,1.18926,0.182126,6.34599
22,0.952336,-0.0869562,6.06491
28,0.889055,-1.02532,6.80563
31,0.308803,-0.0889521,5.88405
32,-0.580679,-0.629256,6.58764
33,1.2979,-0.274466,6.10142
57,0.901582,0.515339,6.49135
59,-0.442477,0.198876,6.34033
69,1.36338,0.103849,6.47873
76,1.18709,-0.525064,6.64627
81,1.30863,-0.790289,6.88702
83,0.854343,-0.840542,6.47948
