track_id,X,Y,Z
1,-0.180141,-0.295848,1.26364
2,-0.0173621,-0.292354,1.14183
3,0.258401,-0.130784,1.23385
4,0.14135,-0.159889,1.22806
5,-0.209774,-0.242066,1.21827
6,0.117451,-0.323423,1.21724
7,0.246714,-0.181083,1.18367
9,-0.0491503,-0.350506,1.21579
10,-0.256714,-0.262707,1.27886
11,-0.109133,-0.330086,1.2212
12,0.311546,-0.178632,1.22182
13,0.235939,-0.300603,1.22829
16,-0.0284484,-0.118434,1.16683
17,-0.158728,-0.235031,1.16704
19,0.283317,-0.245344,1.20926
20,0.15846,-0.284112,1.17723
21,-0.11787,-0.274141,1.13644
23,0.0506724,-0.338525,1.22354
24,0.043825,-0.270036,1.17399
25,0.126856,-0.204696,1.19257
26,-0.0607954,-0.239617,1.11766
27,0.00423439,-0.0839929,1.24594
28,0.178406,-0.197901,1.16442
29,-0.15819,-0.0807432,1.23168
32,0.0963656,-0.263334,1.19665
33,0.215631,-0.250562,1.18142
37,-0.058973,-0.156362,1.11659
38,0.34805,-0.228109,1.28242
39,-0.221552,-0.117371,1.23448
40,0.00288682,-0.225859,1.12925
43,0.296879,-0.284186,1.28432
46,-0.065556,-0.285621,1.17505
48,0.136472,-0.344677,1.29903
49,0.0027098,-0.318239,1.31959
51,-0.237187,-0.253693,1.37087
