track_id,frame_id,label,X,Y,Z,img_name,x,y,r,vol_real,vol_rep,xrep,yrep,error,x1cm,y1cm,d2val1,d2val2
0,0,baya,-12.7799,-10.6798,62.0318,VID_20220217_111708_F0.png,645,287,23.137,2.65132,3.70911,646.966,289.112,2.88561,665.966,303.929,NULL,NULL
0,1,baya,-12.7799,-10.6798,62.0318,VID_20220217_111708_F3.png,805,285,0,0,0,805.52,286.22,1.3264,832.104,283.003,NULL,NULL
1,0,baya,0,0,0,VID_20220217_111708_F0.png,776,358,19.5728,0,0,-nan,-nan,-1,-nan,-nan,NULL,NULL
1,1,baya,0,0,0,VID_20220217_111708_F3.png,926,368,0,0,0,7654.64,-1107.81,-1,7832.41,-1167.24,NULL,NULL
2,0,baya,0,0,0,VID_20220217_111708_F0.png,728,304,21.3362,0,0,-nan,-nan,-1,-nan,-nan,NULL,NULL
2,1,baya,0,0,0,VID_20220217_111708_F3.png,899,308,0,0,0,7654.64,-1107.81,-1,7832.41,-1167.24,NULL,NULL
3,0,baya,0,0,0,VID_20220217_111708_F0.png,587,348,22.9223,1.74799,2.38484,-nan,-nan,-1,-nan,-nan,NULL,NULL
3,1,baya,0,0,0,VID_20220217_111708_F3.png,729,343,0,0,0,7654.64,-1107.81,-1,7832.41,-1167.24,NULL,NULL
4,0,val_2,-23.3256,-15.8454,63.0118,VID_20220217_111708_F0.png,389,171,0,1.18823,1.51321,394.823,175.452,7.3302,414.987,188.233,NULL,1.9948
4,1,val_2,-23.3256,-15.8454,63.0118,VID_20220217_111708_F3.png,497,144,0,0,0,501.238,148.756,6.37031,529.796,147.303,NULL,1.9948
5,0,baya,0,0,0,VID_20220217_111708_F0.png,726,351,22.8537,2.59938,2.99019,-nan,-nan,-1,-nan,-nan,NULL,NULL
5,1,baya,0,0,0,VID_20220217_111708_F3.png,894,356,0,0,0,7654.64,-1107.81,-1,7832.41,-1167.24,NULL,NULL
6,0,baya,0,0,0,VID_20220217_111708_F0.png,682,398,22.9626,3.5608,4.38912,-nan,-nan,-1,-nan,-nan,NULL,NULL
6,1,baya,0,0,0,VID_20220217_111708_F3.png,840,401,0,0,0,7654.64,-1107.81,-1,7832.41,-1167.24,NULL,NULL
7,0,val_1,-24.3057,-15.8315,62.9519,VID_20220217_111708_F0.png,364,171,0,1.52553,1.98536,370.369,175.424,7.75525,390.814,187.851,69.3133,NULL
7,1,val_1,-24.3057,-15.8315,62.9519,VID_20220217_111708_F3.png,468,141,0,0,0,472.712,146.158,6.98588,501.549,144.691,69.3133,NULL
8,0,baya,-16.3474,-9.64838,63.4222,VID_20220217_111708_F0.png,565,317,19.7346,2.85953,3.28835,567.503,317.832,2.63741,588.36,329.318,NULL,NULL
8,1,baya,-16.3474,-9.64838,63.4222,VID_20220217_111708_F3.png,703,316,0,0,0,704.398,318.276,2.67072,731.222,314.714,NULL,NULL
9,0,baya,-6.43542,-9.85986,62.2703,VID_20220217_111708_F0.png,804,307,16.7524,2.14982,2.54324,804.674,308.93,2.04466,818.156,328.205,NULL,NULL
9,1,baya,-6.43542,-9.85986,62.2703,VID_20220217_111708_F3.png,955,313,0,0,0,954.667,313.146,0.363208,979.796,309.611,NULL,NULL
10,0,baya,0,0,0,VID_20220217_111708_F0.png,745,283,20.9795,2.89855,2.7924,-nan,-nan,-1,-nan,-nan,NULL,NULL
10,1,baya,0,0,0,VID_20220217_111708_F3.png,896,284,0,0,0,7654.64,-1107.81,-1,7832.41,-1167.24,NULL,NULL
11,0,baya,-8.08241,-8.84229,61.8428,VID_20220217_111708_F0.png,762,330,21.4016,2.48128,3.04422,762.67,330.945,1.15836,779.427,348.052,NULL,NULL
11,1,baya,-8.08241,-8.84229,61.8428,VID_20220217_111708_F3.png,925,332,0,0,0,924.972,332.751,0.751602,950.59,328.831,NULL,NULL
12,0,baya,0,0,0,VID_20220217_111708_F0.png,896,294,19.9893,1.80597,2.38439,-nan,-nan,-1,-nan,-nan,NULL,NULL
12,1,baya,0,0,0,VID_20220217_111708_F3.png,996,313,0,0,0,7654.64,-1107.81,-1,7832.41,-1167.24,NULL,NULL
13,0,baya,-3.48982,-11.1617,63.678,VID_20220217_111708_F0.png,879,283,23.0122,2.27486,2.79755,879.234,284.645,1.66141,886.432,306.128,NULL,NULL
13,1,baya,-3.48982,-11.1617,63.678,VID_20220217_111708_F3.png,999,295,0,0,0,998.501,295.902,1.03056,1022.58,292.859,NULL,NULL
14,0,baya,0,0,0,VID_20220217_111708_F0.png,731,264,20.9715,0,0,-nan,-nan,-1,-nan,-nan,NULL,NULL
14,1,baya,0,0,0,VID_20220217_111708_F3.png,868,271,0,0,0,7654.64,-1107.81,-1,7832.41,-1167.24,NULL,NULL
15,0,baya,-16.9828,-7.58245,63.9313,VID_20220217_111708_F0.png,553,366,18.53,0,0,555.39,365.884,2.39233,577.328,375.024,NULL,NULL
15,1,baya,-16.9828,-7.58245,63.9313,VID_20220217_111708_F3.png,687,370,0,0,0,688.409,372.19,2.60387,715.16,367.921,NULL,NULL
16,0,baya,-8.80709,-6.42427,62.7036,VID_20220217_111708_F0.png,747,388,22.0843,2.91803,3.44617,747.674,389.03,1.23102,767.465,402.501,NULL,NULL
16,1,baya,-8.80709,-6.42427,62.7036,VID_20220217_111708_F3.png,905,395,0,0,0,904.906,394.778,0.241344,930.297,389.996,NULL,NULL
17,0,baya,0,0,0,VID_20220217_111708_F0.png,570,400,20.9123,2.15309,2.58866,-nan,-nan,-1,-nan,-nan,NULL,NULL
17,1,baya,0,0,0,VID_20220217_111708_F3.png,719,401,0,0,0,7654.64,-1107.81,-1,7832.41,-1167.24,NULL,NULL
18,0,baya,-14.4907,-5.65047,64.7227,VID_20220217_111708_F0.png,618,411,19.9233,2.63965,3.44262,619.522,410.747,1.54339,641.633,418.792,NULL,NULL
18,1,baya,-14.4907,-5.65047,64.7227,VID_20220217_111708_F3.png,749,423,0,0,0,749.661,424.251,1.41514,775.498,419.345,NULL,NULL
19,0,baya,-3.33195,-9.49392,63.5477,VID_20220217_111708_F0.png,883,322,19.8626,2.33671,3.06491,882.877,321.746,0.282207,890.881,343.028,NULL,NULL
19,1,baya,-3.33195,-9.49392,63.5477,VID_20220217_111708_F3.png,1008,330,0,0,0,1007.87,331.918,1.92301,1031.93,328.25,NULL,NULL
20,0,val_1,0,0,0,VID_20220217_111708_F0.png,313,172,0,2.9608,3.34014,-nan,-nan,-1,-nan,-nan,NULL,NULL
20,1,val_1,0,0,0,VID_20220217_111708_F3.png,410,137,0,0,0,7654.64,-1107.81,-1,7832.41,-1167.24,NULL,NULL
21,0,baya,-3.40216,-12.3688,65.1059,VID_20220217_111708_F0.png,883,262,19.8959,0,0,883.148,263.581,1.58842,889.405,284.808,NULL,NULL
21,1,baya,-3.40216,-12.3688,65.1059,VID_20220217_111708_F3.png,981,278,0,0,0,980.635,279.458,1.50352,1004.23,276.865,NULL,NULL
22,0,baya,0,0,0,VID_20220217_111708_F0.png,804,336,19.6716,0,0,-nan,-nan,-1,-nan,-nan,NULL,NULL
22,1,baya,0,0,0,VID_20220217_111708_F3.png,947,347,0,0,0,7654.64,-1107.81,-1,7832.41,-1167.24,NULL,NULL
23,0,baya,-15.1485,-11.7553,64.0574,VID_20220217_111708_F0.png,598,272,19.3836,0,0,600.177,272.852,2.33785,619.121,286.569,NULL,NULL
23,1,baya,-15.1485,-11.7553,64.0574,VID_20220217_111708_F3.png,723,270,0,0,0,724.491,273.186,3.51736,750.776,270.374,NULL,NULL
24,0,baya,0,0,0,VID_20220217_111708_F0.png,845,344,20.5548,4.20131e-05,179.074,-nan,-nan,-1,-nan,-nan,NULL,NULL
24,1,baya,0,0,0,VID_20220217_111708_F3.png,979,355,0,0,1.57757e+29,7654.64,-1107.81,-1,7832.41,-1167.24,NULL,NULL
25,0,baya,-10.7683,-6.8165,61.6613,VID_20220217_111708_F0.png,694,376,21.3676,0,-5.55421e-17,695.173,377.43,1.84955,716.22,389.863,NULL,NULL
25,1,baya,-10.7683,-6.8165,61.6613,VID_20220217_111708_F3.png,869,379,0,0,-1.0505e+37,868.957,378.764,0.24017,895.198,374.093,NULL,NULL
26,0,cal_2,-18.3917,-16.0583,63.7092,VID_20220217_111708_F0.png,516,170,0,1.58347e-43,1.13505e-43,520.001,174.609,6.10322,538.162,189.406,NULL,NULL
26,1,cal_2,-18.3917,-16.0583,63.7092,VID_20220217_111708_F3.png,631,158,0,8.29709e-42,1.13505e-43,633.485,161.432,4.23697,660.539,160.086,NULL,NULL
27,0,cal_1,-20.3435,-15.8725,63.3142,VID_20220217_111708_F0.png,465,171,0,0,0,469.884,176.559,7.40009,489.011,190.484,NULL,NULL
27,1,cal_1,-20.3435,-15.8725,63.3142,VID_20220217_111708_F3.png,581,155,0,0,0,583.923,157.919,4.13123,611.609,156.5,NULL,NULL
28,0,baya,-5.32342,-10.2143,62.4104,VID_20220217_111708_F0.png,832,300,21.8577,0,0,832.397,301.3,1.35895,843.772,321.665,NULL,NULL
28,1,baya,-5.32342,-10.2143,62.4104,VID_20220217_111708_F3.png,977,306,0,-3.55012e-34,1.4013e-45,976.69,306.9,0.952332,1001.55,303.495,NULL,NULL
29,0,baya,-5.40054,-12.6398,65.286,VID_20220217_111708_F0.png,836,257,18.913,0,4.5793e-41,836.354,258.383,1.42778,845.598,278.572,NULL,NULL
29,1,baya,-5.40054,-12.6398,65.286,VID_20220217_111708_F3.png,936,271,0,4.5793e-41,4.5793e-41,935.939,272.811,1.81223,959.836,270.319,NULL,NULL
