track_id,frame_id,label,X,Y,Z,img_name,x,y,r,vol_real,vol_rep,xrep,yrep,error,x1cm,y1cm,d2val1,d2val2
0,0,baya,-9.6448,0.728175,69.486,VID_20220217_102436_F-1.png,750,551,0,0,0,750.214,550.897,0.238125,772.257,549.344,NULL,NULL
0,1,baya,-9.6448,0.728175,69.486,VID_20220217_102436_F3.png,901,482,0,0,0,901.073,482.048,0.0872693,909.812,460.651,NULL,NULL
1,0,baya,0,0,0,VID_20220217_102436_F-1.png,722,420,0,0,0,-nan,-nan,-1,-nan,-nan,NULL,NULL
1,1,baya,0,0,0,VID_20220217_102436_F3.png,871,305,0,0,0,6039.93,-10687.5,-1,6110.51,-10978.6,NULL,NULL
2,0,baya,-9.81702,-8.2528,64.3245,VID_20220217_102436_F-1.png,728,351,0,0,0,728.995,351.987,1.40085,747.273,366.325,NULL,NULL
2,1,baya,-9.81702,-8.2528,64.3245,VID_20220217_102436_F3.png,869,243,0,0,0,869.1,244.836,1.83888,879.647,223.985,NULL,NULL
3,0,baya,-10.171,-0.219236,65.6971,VID_20220217_102436_F-1.png,725,531,0,0,0,725.617,531.094,0.624541,748.992,531.564,NULL,NULL
3,1,baya,-10.171,-0.219236,65.6971,VID_20220217_102436_F3.png,893,417,0,0,0,892.862,417.072,0.15581,902.416,394.751,NULL,NULL
4,0,baya,-10.5107,0.745661,67.9755,VID_20220217_102436_F-1.png,726,552,0,0,0,725.911,551.599,0.410763,748.45,550.107,NULL,NULL
4,1,baya,-10.5107,0.745661,67.9755,VID_20220217_102436_F3.png,883,466,0,0,0,883.52,466.272,0.587016,892.74,444.446,NULL,NULL
5,0,baya,0,0,0,VID_20220217_102436_F-1.png,660,379,0,0,0,-nan,-nan,-1,-nan,-nan,NULL,NULL
5,1,baya,0,0,0,VID_20220217_102436_F3.png,817,262,0,0,0,6039.93,-10687.5,-1,6110.51,-10978.6,NULL,NULL
6,0,baya,-11.5508,-5.44902,62.8202,VID_20220217_102436_F-1.png,680,411,0,0,0,680.989,411.553,1.13325,703.102,421.288,NULL,NULL
6,1,baya,-11.5508,-5.44902,62.8202,VID_20220217_102436_F3.png,840,275,0,0,0,840.431,276.483,1.54436,851.51,254.601,NULL,NULL
7,0,baya,-12.2517,-4.08547,62.1118,VID_20220217_102436_F-1.png,659,441,0,0,0,660.436,441.601,1.55614,683.895,448.9,NULL,NULL
7,1,baya,-12.2517,-4.08547,62.1118,VID_20220217_102436_F3.png,829,292,0,0,0,829.142,293.126,1.13543,840.446,270.705,NULL,NULL
8,0,baya,0,0,0,VID_20220217_102436_F-1.png,872,498,0,0,0,-nan,-nan,-1,-nan,-nan,NULL,NULL
