,track_id,frame_id,label,X,Y,Z,img_name,x,y,r,vol_real,vol_rep,xrep,yrep,error,x1cm,y1cm,d2val1,d2val2
141,70,1,baya,-1.88549,-0.159511,40.5357,VID_20220324_104655_F-1.png,865,556,20.8388,1.10775,1.1082,864.981,555.715,0.285722,832.57,557.508,,
142,71,0,baya,1.47273,-2.67074,40.83,VID_20220324_104655_F0.png,1019,441,27.8043,1.81117,1.97787,1018.82,442.123,1.13853,1000.65,472.863,,
143,71,1,baya,1.47273,-2.67074,40.83,VID_20220324_104655_F-1.png,953,472,25.8854,1.91773,1.9089,952.942,470.917,1.08494,919.536,474.862,,
0,0,0,keypoint,-8.61776,-4.35779,33.7847,VID_20220324_104713_F0.png,569,350,0.0,0.0,0.0,571.615,351.001,2.80029,612.187,370.146,,
1,0,1,keypoint,-8.61776,-4.35779,33.7847,VID_20220324_104713_F-1.png,594,414,0.0,0.0,0.0,596.046,415.508,2.54149,565.868,421.362,,
2,1,0,keypoint,-8.62938,-2.22548,33.8027,VID_20220324_104713_F0.png,569,441,0.0,0.0,0.0,571.296,441.513,2.35233,615.296,452.101,,
3,1,1,keypoint,-8.62938,-2.22548,33.8027,VID_20220324_104713_F-1.png,597,476,0.0,0.0,0.0,598.843,476.537,1.91931,568.174,479.982,,
4,2,0,keypoint,-7.16706,-2.22195,35.1571,VID_20220324_104713_F0.png,649,445,0.0,0.0,0.0,650.289,445.292,1.32194,692.019,457.364,,
5,2,1,keypoint,-7.16706,-2.22195,35.1571,VID_20220324_104713_F-1.png,659,473,0.0,0.0,0.0,660.106,473.495,1.21139,629.397,476.799,,
6,3,0,keypoint,-7.19415,-4.36328,35.2092,VID_20220324_104713_F0.png,648,357,0.0,0.0,0.0,649.57,358.257,2.0116,686.871,379.367,,
7,3,1,keypoint,-7.19415,-4.36328,35.2092,VID_20220324_104713_F-1.png,657,412,0.0,0.0,0.0,658.275,412.468,1.35817,628.055,418.001,,
8,4,0,keypoint,-8.48686,-7.09051,33.6469,VID_20220324_104713_F0.png,573,231,0.0,0.0,0.0,575.986,233.836,4.11766,611.018,261.147,,
9,4,1,keypoint,-8.48686,-7.09051,33.6469,VID_20220324_104713_F-1.png,589,335,0.0,0.0,0.0,591.381,336.745,2.95192,562.025,345.554,,
10,5,0,keypoint,-8.58801,-4.97055,33.7567,VID_20220324_104713_F0.png,570,323,0.0,0.0,0.0,572.644,324.831,3.21619,612.026,346.1,,
11,5,1,keypoint,-8.58801,-4.97055,33.7567,VID_20220324_104713_F-1.png,593,397,0.0,0.0,0.0,595.085,397.858,2.25504,565.066,404.391,,
12,6,0,keypoint,-7.21642,-4.99617,35.2192,VID_20220324_104713_F0.png,647,331,0.0,0.0,0.0,648.689,332.552,2.29337,684.546,355.717,,
13,6,1,keypoint,-7.21642,-4.99617,35.2192,VID_20220324_104713_F-1.png,656,394,0.0,0.0,0.0,657.344,394.568,1.45929,627.306,400.743,,
14,7,0,keypoint,0.0,0.0,0.0,VID_20220324_104713_F0.png,650,243,0.0,0.0,0.0,,,-1.0,,,,
15,7,1,keypoint,0.0,0.0,0.0,VID_20220324_104713_F-1.png,652,334,0.0,0.0,0.0,-1341.85,477.441,-1.0,-1419.56,493.852,,
16,8,0,keypoint,-8.36964,-9.85218,33.5564,VID_20220324_104713_F0.png,577,110,0.0,0.0,0.0,580.306,115.062,6.04618,609.941,147.615,,
17,8,1,keypoint,-8.36964,-9.85218,33.5564,VID_20220324_104713_F-1.png,585,255,0.0,0.0,0.0,587.717,257.373,3.60773,559.478,268.9,,
18,9,0,keypoint,-8.45647,-7.70861,33.6204,VID_20220324_104713_F0.png,574,204,0.0,0.0,0.0,577.069,207.248,4.46878,610.833,235.967,,
19,9,1,keypoint,-8.45647,-7.70861,33.6204,VID_20220324_104713_F-1.png,588,317,0.0,0.0,0.0,590.466,318.931,3.13232,561.336,328.375,,
20,10,0,keypoint,-7.08636,-7.7091,35.0815,VID_20220324_104713_F0.png,651,218,0.0,0.0,0.0,653.148,220.914,3.62022,682.778,250.993,,
21,10,1,keypoint,-7.08636,-7.7091,35.0815,VID_20220324_104713_F-1.png,651,315,0.0,0.0,0.0,652.73,316.524,2.30575,623.463,325.396,,
22,11,0,keypoint,-7.00007,-9.85324,35.0198,VID_20220324_104713_F0.png,654,128,0.0,0.0,0.0,656.386,132.605,5.18622,681.788,165.97,,
23,11,1,keypoint,-7.00007,-9.85324,35.0198,VID_20220324_104713_F-1.png,648,253,0.0,0.0,0.0,650.008,255.096,2.90265,621.53,265.934,,
24,12,0,keypoint,-6.65622,-4.38648,36.7483,VID_20220324_104713_F0.png,684,364,0.0,0.0,0.0,685.199,364.792,1.43696,720.1,386.253,,
25,12,1,keypoint,-6.65622,-4.38648,36.7483,VID_20220324_104713_F-1.png,706,412,0.0,0.0,0.0,706.814,412.713,1.0821,676.989,417.944,,
26,13,0,keypoint,-6.59132,-2.26803,36.7432,VID_20220324_104713_F0.png,687,447,0.0,0.0,0.0,687.874,447.405,0.962811,727.402,460.097,,
27,13,1,keypoint,-6.59132,-2.26803,36.7432,VID_20220324_104713_F-1.png,710,472,0.0,0.0,0.0,710.626,472.134,0.640466,680.361,475.295,,
28,14,0,keypoint,-5.87475,-2.33211,38.5814,VID_20220324_104713_F0.png,729,449,0.0,0.0,0.0,729.53,449.239,0.581338,766.532,462.946,,
29,14,1,keypoint,-5.87475,-2.33211,38.5814,VID_20220324_104713_F-1.png,768,470,0.0,0.0,0.0,768.254,470.155,0.297534,738.471,473.18,,
30,15,0,keypoint,-5.91781,-4.46663,38.5738,VID_20220324_104713_F0.png,727,369,0.0,0.0,0.0,727.769,369.91,1.19157,759.552,392.295,,
31,15,1,keypoint,-5.91781,-4.46663,38.5738,VID_20220324_104713_F-1.png,764,411,0.0,0.0,0.0,764.395,411.149,0.421621,735.002,416.109,,
32,16,0,keypoint,-4.24174,0.903183,40.3878,VID_20220324_104713_F0.png,802,568,0.0,0.0,0.0,802.095,567.929,0.11886,839.292,560.538,,
33,16,1,keypoint,-4.24174,0.903183,40.3878,VID_20220324_104713_F-1.png,846,557,0.0,0.0,0.0,845.998,557.02,0.0204636,816.024,557.145,,
34,17,0,keypoint,-4.17587,3.00564,40.285,VID_20220324_104713_F0.png,804,643,0.0,0.0,0.0,804.195,642.813,0.26993,835.141,622.029,,
35,17,1,keypoint,-4.17587,3.00564,40.285,VID_20220324_104713_F-1.png,848,616,0.0,0.0,0.0,848.046,615.851,0.155866,817.98,614.176,,
36,18,0,keypoint,-2.36333,2.97664,41.0781,VID_20220324_104713_F0.png,875,640,0.0,0.0,0.0,875.043,639.737,0.266698,898.294,612.411,,
37,18,1,keypoint,-2.36333,2.97664,41.0781,VID_20220324_104713_F-1.png,903,612,0.0,0.0,0.0,902.985,612.123,0.124323,872.499,610.655,,
